iteration,z_variable,pi_source,ABC_z_over_random_start,ABC_z_over_Vincent_z,ABC_y_over_Vincent_y,Random_z_over_random_start,Random_z_over_Vincent_z,Random_y_over_Vincent_y,evaluations_ABC,evaluations_Random
100,z_90,size_90,1.0004535528645713,0.3206738214716442,0.09013066824249183,1.0000342970754859,0.32053943806556284,0.09015855482587597,3102,3102
150,z_00,equal,1.0,0.09829969477787569,0.15606119091817433,1.0,0.09829969477787569,0.15606119091817433,5336,5336
150,z_00,size_80,1.0007019437465121,0.09386559442306436,0.10998771944168166,1.0001042166293046,0.09380952776754312,0.11000500914408415,4597,4597
150,z_00,size_90,1.0017872400906083,0.13207399116248558,0.07561835782622556,1.0002051561519056,0.1318654118037391,0.07560416127944354,4595,4595
150,z_80,equal,1.0000000000000002,0.13103138185639618,0.1564448703090641,1.0000000000000002,0.13103138185639618,0.1564448703090641,5318,5318
150,z_80,size_80,1.0008569375565888,0.1716919997948015,0.10745644015376196,1.0001478514734952,0.17157035962519818,0.10743548391253119,4570,4570
150,z_80,size_90,1.00071414630217,0.18698190168685389,0.07778803773259221,1.0000402635853056,0.18685598773592313,0.07778054347550714,4587,4587
150,z_90,equal,1.0000000000000002,0.12910932894432708,0.16189741648793213,1.0000000000000002,0.12910932894432708,0.16189741648793216,5329,5329
150,z_90,size_80,1.000850723006323,0.27811668592929384,0.12335773347762742,1.0001265410733242,0.2779154500460738,0.1233546553055907,4620,4620
150,z_90,size_90,1.0007502854547778,0.32076893270732754,0.09013668538143449,1.0000383004362914,0.3205407212565761,0.0901620266285631,4629,4629
200,z_00,equal,1.0,0.09829969477787569,0.15606119091817433,1.0,0.09829969477787569,0.15606119091817433,7112,7112
200,z_00,size_80,1.0009805922875519,0.09389173158718528,0.1099830333613673,1.0001042166293046,0.09380952776754312,0.11000500914408415,6120,6120
200,z_00,size_90,1.0024821707790619,0.13216560968778948,0.07563670602401969,1.0002051561519056,0.1318654118037391,0.07560416127944354,6114,6114
200,z_80,equal,1.0000000000000002,0.13103138185639618,0.1564448703090641,1.0000000000000002,0.13103138185639618,0.1564448703090641,7091,7091
200,z_80,size_80,1.0012660046605966,0.17176217320970413,0.10747067208623452,1.0001478514734952,0.17157035962519818,0.10743548391253119,6093,6093
200,z_80,size_90,1.0010140341255838,0.18703793526619503,0.07779552720035843,1.000051613424875,0.1868581084360195,0.07778042249486053,6106,6106
200,z_90,equal,1.0000000000000004,0.1291093289443271,0.16189741648793193,1.0000000000000002,0.12910932894432708,0.16189741648793216,7092,7092
200,z_90,size_80,1.00107778053351,0.2781797807400633,0.12337311832989997,1.0001265410733242,0.2779154500460738,0.1233546553055907,6141,6141
200,z_90,size_90,1.0013097252212115,0.32094824906566505,0.0901242330301263,1.0000383004362914,0.3205407212565761,0.0901620266285631,6147,6147
250,z_00,equal,1.0,0.09829969477787569,0.15606119091817433,1.0,0.09829969477787569,0.15606119091817433,8885,8885
250,z_00,size_80,1.0013540625508306,0.09392676300536235,0.10997958754052153,1.0001042166293046,0.09380952776754312,0.11000500914408415,7647,7647
250,z_00,size_90,1.0030091864078161,0.13223509056627253,0.07563255507681108,1.0002051561519056,0.1318654118037391,0.07560416127944354,7630,7630
250,z_80,equal,1.0000000000000002,0.13103138185639618,0.1564448703090641,1.0000000000000002,0.13103138185639618,0.1564448703090641,8855,8855
250,z_80,size_80,1.0016990302412052,0.1718364565813901,0.10747130478707025,1.0001478514734952,0.17157035962519818,0.10743548391253119,7609,7609
250,z_80,size_90,1.0014122087821573,0.18711233358939727,0.07780270549453011,1.000051613424875,0.1868581084360195,0.07778042249486053,7629,7629
250,z_90,equal,1.0000000000000004,0.1291093289443271,0.16189741648793193,1.0000000000000002,0.12910932894432708,0.16189741648793216,8865,8865
250,z_90,size_80,1.001230781196583,0.278222296608195,0.12337295186322758,1.0001265410733242,0.2779154500460738,0.1233546553055907,7667,7667
250,z_90,size_90,1.0016609970807289,0.3210608416885253,0.09012640103318419,1.0000597640901137,0.32054760096815715,0.09015760360686681,7673,7673
