pi_case,target,label,unit,y,pi
pi_m20,-0.2,-0.20,13,2.022525039137011,0.19804239863516507
pi_m20,-0.2,-0.20,14,2.0170145094417524,0.1958719019800312
pi_m20,-0.2,-0.20,15,2.0323808556633387,0.19574770369225022
pi_m20,-0.2,-0.20,16,2.0362714830246005,0.19452922411248247
pi_m20,-0.2,-0.20,17,2.030459958011102,0.19241098375213828
pi_m20,-0.2,-0.20,18,2.0352071211496114,0.191319175339982
pi_m20,-0.2,-0.20,19,2.016686947034267,0.1880747882548867
pi_m20,-0.2,-0.20,20,1.8707573839906813,0.1730928317644311
pi_equal,0.0,equal,1,51.9801721350388,0.2
pi_equal,0.0,equal,2,73.41168813639402,0.2
pi_equal,0.0,equal,3,74.26506240454529,0.2
pi_equal,0.0,equal,4,78.83542152497158,0.2
pi_equal,0.0,equal,5,86.69900796030562,0.2
pi_equal,0.0,equal,6,90.44804733822802,0.2
pi_equal,0.0,equal,7,93.62284632231986,0.2
pi_equal,0.0,equal,8,95.32024429327694,0.2
pi_equal,0.0,equal,9,100.8649243109366,0.2
pi_equal,0.0,equal,10,103.54742494395171,0.2
pi_equal,0.0,equal,11,105.53884183431633,0.2
pi_equal,0.0,equal,12,106.28500190582736,0.2
pi_equal,0.0,equal,13,107.44258835554545,0.2
pi_equal,0.0,equal,14,107.74756706761596,0.2
pi_equal,0.0,equal,15,109.42360341485848,0.2
pi_equal,0.0,equal,16,113.11756551811796,0.2
pi_equal,0.0,equal,17,118.9761274629117,0.2
pi_equal,0.0,equal,18,121.32903432267652,0.2
pi_equal,0.0,equal,19,129.56329288305798,0.2
pi_equal,0.0,equal,20,131.58153786510377,0.2
pi_p20,0.2,0.20,1,0.5941430176433697,0.9139144411925232
pi_p20,0.2,0.20,2,0.8752730204022299,0.576284993739549
pi_p20,0.2,0.20,3,1.3476403114317494,0.5502229750893576
pi_p20,0.2,0.20,4,1.3210682009274695,0.3880333713618262
pi_p20,0.2,0.20,5,1.5296398190826475,0.34953095855322874
pi_p20,0.2,0.20,6,1.1689946374817195,0.2180777406503301
pi_p20,0.2,0.20,7,1.3684401214360433,0.21534418424189722
pi_p20,0.2,0.20,8,1.2817953851026305,0.1742208835259608
pi_p20,0.2,0.20,9,1.3138027897591522,0.15701819534454844
pi_p20,0.2,0.20,10,1.172088366971176,0.12490955703654792
pi_p20,0.2,0.20,11,0.7867625327168137,0.07561020686306581
pi_p20,0.2,0.20,12,0.6979249273404535,0.06104644857110282
pi_p20,0.2,0.20,13,0.4671706368702747,0.0374798318873994
pi_p20,0.2,0.20,14,0.45870758743767365,0.03397624291058414
pi_p20,0.2,0.20,15,0.40438387808103593,0.027809706227725772
pi_p20,0.2,0.20,16,0.38284335862149405,0.024564654814984526
pi_p20,0.2,0.20,17,0.3493654878825442,0.021004774641363782
pi_p20,0.2,0.20,18,0.334926624797862,0.018940048643762846
pi_p20,0.2,0.20,19,0.33663802122619657,0.01796602547766928
pi_p20,0.2,0.20,20,0.2780075537796332,0.014044759226573264
pi_p40,0.4,0.40,1,2.019712559999248,0.2206784471662441
pi_p40,0.4,0.40,2,2.0048769279444016,0.21694232894511878
pi_p40,0.4,0.40,3,1.992247629573027,0.21351412832063701
pi_p40,0.4,0.40,4,1.9793793540758167,0.21012550732095883
pi_p40,0.4,0.40,5,1.9954338163701872,0.20984202995608345
pi_p40,0.4,0.40,6,1.981509354108195,0.2064405150324461
pi_p40,0.4,0.40,7,1.9696719897444126,0.20331710082176455
pi_p40,0.4,0.40,8,1.9702380358686433,0.20151934297209737
pi_p40,0.4,0.40,9,1.9664712045630202,0.19931493827024732
pi_p40,0.4,0.40,10,1.9665260138444598,0.1975339277514632
pi_p40,0.4,0.40,11,1.9812162080628288,0.19724159870783828
pi_p40,0.4,0.40,12,1.9890670299196505,0.196279514137616
pi_p40,0.4,0.40,13,2.0016016828992305,0.1957923871393289
pi_p40,0.4,0.40,14,1.9960357758267309,0.1935584531239381
pi_p40,0.4,0.40,15,2.0085344902696614,0.1930995724188939
pi_p40,0.4,0.40,16,2.005816516152251,0.19119801608985224
pi_p40,0.4,0.40,17,2.022462127635671,0.19115873976938505
pi_p40,0.4,0.40,18,2.0308835471605504,0.19034928888942618
pi_p40,0.4,0.40,19,2.0301939060912195,0.188706392997373
pi_p40,0.4,0.40,20,1.9893378346680508,0.1833877701692878
pi_p60,0.6,0.60,1,1.9840379177459286,0.21560604071265316
pi_p60,0.6,0.60,2,1.9898809027361446,0.2142852917525722
pi_p60,0.6,0.60,3,1.9870091488137822,0.21205816179830786
pi_p60,0.6,0.60,4,2.001071173277198,0.21166175827272643
pi_p60,0.6,0.60,5,2.0052420572526937,0.21023532008148033
pi_p60,0.6,0.60,6,1.9746989863910893,0.2052260392864269
pi_p60,0.6,0.60,7,1.9727459880335074,0.20324903935911814
pi_p60,0.6,0.60,8,1.9816251600759658,0.20241240745642972
pi_p60,0.6,0.60,9,1.9844531626295705,0.20097717041765614
pi_p60,0.6,0.60,10,1.999818189051407,0.20082513184356962
pi_p60,0.6,0.60,11,2.0163848696965245,0.20079529930521367
pi_p60,0.6,0.60,12,2.0182105318616403,0.1993101990700437
pi_p60,0.6,0.60,13,2.029653387168574,0.19879147313038334
pi_p60,0.6,0.60,14,2.036062381133423,0.19779219961782332
pi_p60,0.6,0.60,15,2.0107979427022618,0.19375710104688326
pi_p60,0.6,0.60,16,1.9933951145775488,0.19053823765476502
pi_p60,0.6,0.60,17,1.9903465356093635,0.18873176378415463
pi_p60,0.6,0.60,18,1.998630737677945,0.18801995957649523
pi_p60,0.6,0.60,19,1.9734123404945902,0.1841922845155921
pi_p60,0.6,0.60,20,1.9601900283413247,0.18153512131770486
pi_p80,0.8,0.80,1,2.0004031371046773,0.21928538878950676
pi_p80,0.8,0.80,2,2.0081518530401397,0.21792786404060777
pi_p80,0.8,0.80,3,2.020674067681476,0.21711017447155462
pi_p80,0.8,0.80,4,1.9407332240149104,0.20647155848598045
pi_p80,0.8,0.80,5,1.9530859096868596,0.2057634259175488
pi_p80,0.8,0.80,6,1.957900705178384,0.2042824599656093
pi_p80,0.8,0.80,7,1.9753869495424636,0.20413925645893763
pi_p80,0.8,0.80,8,1.9891620686667588,0.20361887521991717
pi_p80,0.8,0.80,9,1.9762807936467988,0.20040514688675456
pi_p80,0.8,0.80,10,1.9863415505348807,0.1995559215803923
pi_p80,0.8,0.80,11,1.9838268874466525,0.19747055471255182
pi_p80,0.8,0.80,12,1.9949945836131773,0.19677272625979658
pi_p80,0.8,0.80,13,2.012903253952524,0.19674638036290643
pi_p80,0.8,0.80,14,2.015211719480849,0.19520934676576285
pi_p80,0.8,0.80,15,2.0237522085979736,0.19429790723528603
pi_p80,0.8,0.80,16,2.0340685245199603,0.19357148951210446
pi_p80,0.8,0.80,17,1.9948595645732647,0.18818574946187566
pi_p80,0.8,0.80,18,2.0045594959332176,0.18746704557062088
pi_p80,0.8,0.80,19,2.017463152275408,0.18705770092301596
pi_p80,0.8,0.80,20,2.008673754433346,0.18466102737926973
pi_p90,0.9,0.90,1,2.162791602742577,0.3443649542462388
pi_p90,0.9,0.90,2,1.9313282876446594,0.2894656810085765
pi_p90,0.9,0.90,3,1.6425168721101295,0.23253353595841084
pi_p90,0.9,0.90,4,1.7164234196143096,0.23023498441702642
pi_p90,0.9,0.90,5,1.7039306827869898,0.21715479302923527
pi_p90,0.9,0.90,6,1.752391276950438,0.21271681126313613
pi_p90,0.9,0.90,7,1.834338019737496,0.21256188076099253
pi_p90,0.9,0.90,8,1.783067034455991,0.19765319706068354
pi_p90,0.9,0.90,9,1.846269787384423,0.1961463817490547
pi_p90,0.9,0.90,10,1.8822914582705736,0.19198753235881197
pi_p90,0.9,0.90,11,1.950323132957912,0.19128762822801393
pi_p90,0.9,0.90,12,1.9673773169420303,0.18582451736088346
pi_p90,0.9,0.90,13,2.0094776868215347,0.18303237575385897
pi_p90,0.9,0.90,14,2.0605299272679654,0.18121982291820346
pi_p90,0.9,0.90,15,1.9952632638135717,0.169638440444184
pi_p90,0.9,0.90,16,2.038297051383566,0.16771438864415966
pi_p90,0.9,0.90,17,2.0765062080734533,0.16552584655223923
pi_p90,0.9,0.90,18,1.9615671760186697,0.15163125779143966
pi_p90,0.9,0.90,19,1.9058431269910348,0.14299592432318622
pi_p90,0.9,0.90,20,1.8701027061689919,0.13631004613166506
