iterations,z_variable,size_variable,corr_y_z,corr_y_pi,corr_y_over_pi_z_over_pi,Start_z_over_Ppi_z,Start_y_over_Ppi_y_opt,ABC_z_over_Ppi_z,ABC_y_over_Ppi_y_opt,Random_z_over_Ppi_z,Random_y_over_Ppi_y_opt,evaluations_ABC,evaluations_Random
100,z_80,size_80,0.7999999999999999,0.7968202530366716,-0.5431588800339152,1.000000576512931,0.588120162564785,1.5536840480424552,0.2939951342420995,1.000000576512931,0.588120162564785,10620,3020
100,z_80,size_90,0.7999999999999999,0.8655222606938383,-0.5857763447512758,1.0000000520222911,0.5499500159264293,1.759597157704972,0.1813197513860037,1.0000000520222911,0.5499500159264293,10845,3020
100,z_90,size_00,0.9,2.3835928402128973e-16,0.9000000000000004,1.00001888377001,0.4713713178015423,1.00001888377001,0.4713713178015423,1.00001888377001,0.4713713178015423,9545,3020
100,z_90,size_80,0.9,0.7968202530366716,-0.5170980066756964,1.000000980681483,0.588120162564785,1.4282081387383898,0.4103222782417594,1.000000980681483,0.588120162564785,10495,3020
100,z_90,size_90,0.9,0.8655222606938383,-0.5881511960136881,0.9999998880827462,0.5499500159264293,1.402965076792416,0.2106320734100025,0.9999998880827462,0.5499500159264293,10195,3020
150,z_00,size_00,-2.4830408006784865e-17,2.3835928402128973e-16,-3.475577650980294e-17,1.0000239158272322,0.1617627150294337,1.0000239158272322,0.1617627150294337,1.0000239158272322,0.1617627150294337,13732,4520
150,z_00,size_80,-2.4830408006784865e-17,0.7968202530366716,0.1031305278839988,1.000000943757315,0.588120162564785,1.656517302822648,0.2679377392516804,1.1484594646207082,0.2366240253834073,17632,4520
150,z_00,size_90,-2.4830408006784865e-17,0.8655222606938383,0.0331667010062266,0.9999998005746604,0.5499500159264293,1.2719790632842505,0.1128346105018326,1.1112320312435184,0.1549854763244922,19132,4520
150,z_80,size_00,0.7999999999999999,2.3835928402128973e-16,0.8000000000000003,1.0000180660652045,0.3597962115636762,1.0000180660652045,0.3597962115636762,1.0000180660652045,0.3597962115636762,13507,4520
150,z_80,size_80,0.7999999999999999,0.7968202530366716,-0.5431588800339152,1.000000576512931,0.588120162564785,1.6192010016362048,0.2871221329480659,1.000000576512931,0.588120162564785,15032,4520
150,z_80,size_90,0.7999999999999999,0.8655222606938383,-0.5857763447512758,1.0000000520222911,0.5499500159264293,1.8377334590914456,0.1734012281098945,1.0000000520222911,0.5499500159264293,15257,4520
150,z_90,size_00,0.9,2.3835928402128973e-16,0.9000000000000004,1.00001888377001,0.4713713178015423,1.00001888377001,0.4713713178015423,1.00001888377001,0.4713713178015423,13307,4520
150,z_90,size_80,0.9,0.7968202530366716,-0.5170980066756964,1.000000980681483,0.588120162564785,1.4567617251547986,0.4227334936800473,1.000000980681483,0.588120162564785,14557,4520
150,z_90,size_90,0.9,0.8655222606938383,-0.5881511960136881,0.9999998880827462,0.5499500159264293,1.4602620796079495,0.2026341633480075,0.9999998880827462,0.5499500159264293,14357,4520
200,z_00,size_00,-2.4830408006784865e-17,2.3835928402128973e-16,-3.475577650980294e-17,1.0000239158272322,0.1617627150294337,1.0000239158272322,0.1617627150294337,1.0000239158272322,0.1617627150294337,17095,6020
200,z_00,size_80,-2.4830408006784865e-17,0.7968202530366716,0.1031305278839988,1.000000943757315,0.588120162564785,1.7367348771998297,0.2665685018534239,1.156121523343189,0.2115077358979261,20970,6020
200,z_00,size_90,-2.4830408006784865e-17,0.8655222606938383,0.0331667010062266,0.9999998005746604,0.5499500159264293,1.4299733200166065,0.1158109069148289,1.1112320312435184,0.1549854763244922,22195,6020
200,z_80,size_00,0.7999999999999999,2.3835928402128973e-16,0.8000000000000003,1.0000180660652045,0.3597962115636762,1.0000180660652045,0.3597962115636762,1.0000180660652045,0.3597962115636762,17070,6020
200,z_80,size_80,0.7999999999999999,0.7968202530366716,-0.5431588800339152,1.000000576512931,0.588120162564785,1.6828634406915208,0.2917941113786008,1.000000576512931,0.588120162564785,17770,6020
200,z_80,size_90,0.7999999999999999,0.8655222606938383,-0.5857763447512758,1.0000000520222911,0.5499500159264293,1.9245569036399175,0.1740656395828128,1.0000000520222911,0.5499500159264293,17895,6020
200,z_90,size_00,0.9,2.3835928402128973e-16,0.9000000000000004,1.00001888377001,0.4713713178015423,1.00001888377001,0.4713713178015423,1.00001888377001,0.4713713178015423,16745,6020
200,z_90,size_80,0.9,0.7968202530366716,-0.5170980066756964,1.000000980681483,0.588120162564785,1.473500661259272,0.406908783599708,1.000000980681483,0.588120162564785,17470,6020
200,z_90,size_90,0.9,0.8655222606938383,-0.5881511960136881,0.9999998880827462,0.5499500159264293,1.4859886480899018,0.2032414328332067,0.9999998880827462,0.5499500159264293,17395,6020
250,z_00,size_00,-2.4830408006784865e-17,2.3835928402128973e-16,-3.475577650980294e-17,1.0000239158272322,0.1617627150294337,1.0000239158272322,0.1617627150294337,1.0000239158272322,0.1617627150294337,20332,7520
250,z_00,size_80,-2.4830408006784865e-17,0.7968202530366716,0.1031305278839988,1.000000943757315,0.588120162564785,1.7914637901997126,0.2636505065668748,1.156121523343189,0.2115077358979261,23857,7520
250,z_00,size_90,-2.4830408006784865e-17,0.8655222606938383,0.0331667010062266,0.9999998005746604,0.5499500159264293,1.466782192123304,0.1140814169482525,1.1112320312435184,0.1549854763244922,24557,7520
250,z_80,size_00,0.7999999999999999,2.3835928402128973e-16,0.8000000000000003,1.0000180660652045,0.3597962115636762,1.0000180660652045,0.3597962115636762,1.0000180660652045,0.3597962115636762,20232,7520
250,z_80,size_80,0.7999999999999999,0.7968202530366716,-0.5431588800339152,1.000000576512931,0.588120162564785,1.7051567827050156,0.2922410762812479,1.000000576512931,0.588120162564785,20482,7520
250,z_80,size_90,0.7999999999999999,0.8655222606938383,-0.5857763447512758,1.0000000520222911,0.5499500159264293,1.9723684252066345,0.1773043317953194,1.0000000520222911,0.5499500159264293,20432,7520
250,z_90,size_00,0.9,2.3835928402128973e-16,0.9000000000000004,1.00001888377001,0.4713713178015423,1.00001888377001,0.4713713178015423,1.00001888377001,0.4713713178015423,19982,7520
250,z_90,size_80,0.9,0.7968202530366716,-0.5170980066756964,1.000000980681483,0.588120162564785,1.4782519362306217,0.4170528199291293,1.000000980681483,0.588120162564785,20507,7520
250,z_90,size_90,0.9,0.8655222606938383,-0.5881511960136881,0.9999998880827462,0.5499500159264293,1.494880061262,0.205814312111637,0.9999998880827462,0.5499500159264293,20407,7520
