iteration,z_variable,pi_source,ABC_z_over_random_start,ABC_z_over_Vincent_z,ABC_y_over_Vincent_y,Random_z_over_random_start,Random_z_over_Vincent_z,Random_y_over_Vincent_y,evaluations_ABC,evaluations_Random
2,z_90,size_90,1.0000004673266332,0.32052859466877254,0.09015830388826736,1.0000149992041318,0.3205332525488683,0.09015969896922854,19,19
3,z_00,equal,1.0,0.09829969477787569,0.15606119091817433,1.0,0.09829969477787569,0.15606119091817433,28,28
3,z_00,size_80,1.0000046473137394,0.09380018819040906,0.11000515261118374,1.000009521942638,0.09380064542939216,0.1100055165220674,27,27
3,z_00,size_90,1.000007163013646,0.13183930871223798,0.07560182237565963,1.0000126262632523,0.13184002897813013,0.07560395070664437,26,26
3,z_80,equal,1.0,0.13103138185639618,0.1564448703090642,1.0,0.13103138185639618,0.1564448703090642,28,28
3,z_80,size_80,1.0000005845044537,0.17154509671351753,0.10743753644668737,1.0000089920890638,0.1715465389925896,0.10743375064232931,26,26
3,z_80,size_90,1.000001848936393,0.18684881001775772,0.07777731619288605,1.0000046174663186,0.18684932731332335,0.07777776941607635,26,26
3,z_90,equal,1.0,0.12910932894432706,0.16189741648793207,1.0,0.12910932894432706,0.16189741648793207,27,27
3,z_90,size_80,1.0000013111203183,0.2778806511108196,0.12334398775397744,1.0000045945971137,0.2778815635242931,0.12333474140637857,26,26
3,z_90,size_90,1.0000037183337005,0.32052963670901213,0.09015856407029617,1.0000149992041318,0.3205332525488683,0.09015969896922854,28,28
4,z_00,equal,1.0,0.09829969477787569,0.15606119091817433,1.0,0.09829969477787569,0.15606119091817433,36,36
4,z_00,size_80,1.0000046473137394,0.09380018819040906,0.11000515261118374,1.000009521942638,0.09380064542939216,0.1100055165220674,34,34
4,z_00,size_90,1.000007163013646,0.13183930871223798,0.07560182237565963,1.0000126262632523,0.13184002897813013,0.07560395070664437,33,33
4,z_80,equal,1.0,0.13103138185639618,0.1564448703090642,1.0,0.13103138185639618,0.1564448703090642,37,37
4,z_80,size_80,1.0000005845044537,0.17154509671351753,0.10743753644668737,1.0000089920890638,0.1715465389925896,0.10743375064232931,33,33
4,z_80,size_90,1.0000027951688994,0.18684898681984863,0.0777770183779735,1.0000046174663186,0.18684932731332335,0.07777776941607635,34,34
4,z_90,equal,1.0,0.12910932894432706,0.16189741648793207,1.0,0.12910932894432706,0.16189741648793207,38,38
4,z_90,size_80,1.0000013111203183,0.2778806511108196,0.12334398775397744,1.0000045945971137,0.2778815635242931,0.12333474140637857,33,33
4,z_90,size_90,1.0000044982742828,0.32052988670215404,0.09015574278359553,1.0000149992041318,0.3205332525488683,0.09015969896922854,35,35
5,z_00,equal,1.0,0.09829969477787569,0.15606119091817433,1.0,0.09829969477787569,0.15606119091817433,45,45
5,z_00,size_80,1.0000046473137394,0.09380018819040906,0.11000515261118374,1.000009521942638,0.09380064542939216,0.1100055165220674,41,41
5,z_00,size_90,1.0000085732987056,0.1318394946419135,0.07560195176341099,1.0000197883020032,0.13184097320960445,0.07560254991794856,41,41
5,z_80,equal,1.0,0.13103138185639618,0.1564448703090642,1.0,0.13103138185639618,0.1564448703090642,45,45
5,z_80,size_80,1.000000584518341,0.17154509671589985,0.10743753644655027,1.0000321919786168,0.17155051881756045,0.10743718589079145,41,41
5,z_80,size_90,1.0000027951688994,0.18684898681984863,0.0777770183779735,1.0000054968358614,0.18684949162217215,0.07777805848411166,41,41
5,z_90,equal,1.0,0.12910932894432706,0.16189741648793207,1.0,0.12910932894432706,0.16189741648793207,45,45
5,z_90,size_80,1.0000013111203183,0.2778806511108196,0.12334398775397744,1.0000045945971137,0.2778815635242931,0.12333474140637857,40,40
5,z_90,size_90,1.0000044982742828,0.32052988670215404,0.09015574278359553,1.0000149992041318,0.3205332525488683,0.09015969896922854,42,42
