Popu,pi,N,Method,mean,std,Measure
grid,uneq,8,B,-0.31,0.0,I
grid,uneq,8,LP1,-0.22,0.1,I
grid,uneq,8,LP2,-0.21,0.11,I
grid,uneq,8,MAX,0.01,0.15,I
grid,uneq,8,SRS,-0.04,0.12,I
grid,uneq,8,WAV,-0.34,0.08,I
grid,uneq,8,B,0.54,3.04,L
grid,uneq,8,LP1,0.54,0.93,L
grid,uneq,8,LP2,0.53,0.96,L
grid,uneq,8,MAX,0.65,1.14,L
grid,uneq,8,SRS,30.81,85.92,L
grid,uneq,8,WAV,0.53,0.96,L
grid,uneq,16,B,-0.01,0.2,D
grid,uneq,16,LP1,-0.12,0.18,D
grid,uneq,16,LP2,-0.13,0.19,D
grid,uneq,16,MAX,-0.25,0.25,D
grid,uneq,16,SRS,-0.04,0.28,D
grid,uneq,16,WAV,-0.1,0.16,D
grid,uneq,16,B,-0.32,0.0,I
grid,uneq,16,LP1,-0.22,0.09,I
grid,uneq,16,LP2,-0.21,0.1,I
grid,uneq,16,MAX,0.09,0.15,I
grid,uneq,16,SRS,-0.02,0.13,I
grid,uneq,16,WAV,-0.36,0.06,I
grid,uneq,16,B,0.42,2.07,L
grid,uneq,16,LP1,0.44,0.77,L
grid,uneq,16,LP2,0.45,0.76,L
grid,uneq,16,MAX,0.55,3.59,L
grid,uneq,16,SRS,28.14,55.88,L
grid,uneq,16,WAV,0.49,3.59,L
random,eq,4,B,0.0,0.16111,D
random,eq,4,LP1,-0.01,0.27,D
random,eq,4,LP2,-0.03,0.29,D
random,eq,4,MAX,-0.27,0.34,D
random,eq,4,SRS,-0.28,0.34,D
random,eq,4,WAV,0.05,0.24,D
random,eq,4,B,-0.37,0.104291,I
random,eq,4,LP1,-0.25,0.11,I
random,eq,4,LP2,-0.24,0.11,I
random,eq,4,MAX,-0.09,0.13,I
random,eq,4,SRS,-0.08,0.13,I
random,eq,4,WAV,-0.37,0.12,I
random,eq,4,B,0.31,0.114923,L
random,eq,4,LP1,0.38,0.11,L
random,eq,4,LP2,0.38,0.1,L
random,eq,4,MAX,0.49,0.15,L
random,eq,4,SRS,0.49,0.15,L
random,eq,4,WAV,0.35,0.1,L
random,eq,8,B,0.01,0.093668,D
random,eq,8,LP1,0.09,0.22,D
random,eq,8,LP2,0.08,0.24,D
random,eq,8,MAX,-0.15,0.33,D
random,eq,8,SRS,-0.15,0.32,D
random,eq,8,WAV,0.11,0.18,D
random,eq,8,B,-0.44,0.086669,I
random,eq,8,LP1,-0.32,0.09,I
random,eq,8,LP2,-0.29,0.1,I
random,eq,8,MAX,-0.05,0.13,I
random,eq,8,SRS,-0.06,0.13,I
random,eq,8,WAV,-0.47,0.08,I
random,eq,8,B,0.19,0.06079,L
random,eq,8,LP1,0.23,0.05,L
random,eq,8,LP2,0.23,0.06,L
random,eq,8,MAX,0.35,0.09,L
random,eq,8,SRS,0.35,0.09,L
random,eq,8,WAV,0.21,0.05,L
random,eq,16,B,-0.0,0.161235,D
random,eq,16,LP1,0.04,0.13,D
random,eq,16,LP2,0.04,0.14,D
random,eq,16,MAX,-0.07,0.26,D
random,eq,16,SRS,-0.06,0.26,D
random,eq,16,WAV,0.03,0.11,D
random,eq,16,B,-0.55,0.075035,I
random,eq,16,LP1,-0.41,0.09,I
random,eq,16,LP2,-0.38,0.09,I
random,eq,16,MAX,-0.04,0.14,I
random,eq,16,SRS,-0.03,0.13,I
random,eq,16,WAV,-0.6,0.06,I
random,eq,16,B,0.12,0.856879,L
random,eq,16,LP1,0.15,0.03,L
random,eq,16,LP2,0.15,0.03,L
random,eq,16,MAX,0.24,0.05,L
random,eq,16,SRS,0.24,0.05,L
random,eq,16,WAV,0.14,0.03,L
random,uneq,4,B,-0.07,0.22,D
random,uneq,4,LP1,-0.15,0.26,D
random,uneq,4,LP2,-0.17,0.28,D
random,uneq,4,MAX,-0.34,0.31,D
random,uneq,4,SRS,-0.2,0.35,D
random,uneq,4,WAV,-0.1,0.24,D
random,uneq,4,B,-0.31,0.1,I
random,uneq,4,LP1,-0.2,0.1,I
random,uneq,4,LP2,-0.2,0.11,I
random,uneq,4,MAX,-0.06,0.14,I
random,uneq,4,SRS,-0.07,0.12,I
random,uneq,4,WAV,-0.3,0.1,I
random,uneq,4,B,0.64,1.83,L
random,uneq,4,LP1,0.69,0.93,L
random,uneq,4,LP2,0.69,2.33,L
random,uneq,4,MAX,0.86,3.22,L
random,uneq,4,SRS,6.58,19.91,L
random,uneq,4,WAV,0.68,0.98,L
random,uneq,8,B,-0.04,0.26,D
random,uneq,8,LP1,-0.11,0.25,D
random,uneq,8,LP2,-0.1,0.25,D
random,uneq,8,MAX,-0.25,0.31,D
random,uneq,8,SRS,-0.04,0.33,D
random,uneq,8,WAV,-0.08,0.23,D
random,uneq,8,B,-0.3,0.1,I
random,uneq,8,LP1,-0.23,0.09,I
random,uneq,8,LP2,-0.22,0.1,I
random,uneq,8,MAX,-0.0,0.14,I
random,uneq,8,SRS,-0.05,0.12,I
random,uneq,8,WAV,-0.35,0.08,I
random,uneq,8,B,0.48,1.26,L
random,uneq,8,LP1,0.5,0.55,L
random,uneq,8,LP2,0.5,0.56,L
random,uneq,8,MAX,0.61,1.23,L
random,uneq,8,SRS,5.65,12.97,L
random,uneq,8,WAV,0.53,0.63,L
random,uneq,16,B,-0.06,0.17,D
random,uneq,16,LP1,-0.14,0.18,D
random,uneq,16,LP2,-0.15,0.18,D
random,uneq,16,MAX,-0.24,0.25,D
random,uneq,16,SRS,-0.01,0.28,D
random,uneq,16,WAV,-0.14,0.16,D
random,uneq,16,B,-0.37,0.0,I
random,uneq,16,LP1,-0.27,0.09,I
random,uneq,16,LP2,-0.24,0.09,I
random,uneq,16,MAX,0.06,0.15,I
random,uneq,16,SRS,-0.03,0.13,I
random,uneq,16,WAV,-0.42,0.07,I
random,uneq,16,B,0.36,0.85,L
random,uneq,16,LP1,0.39,0.83,L
random,uneq,16,LP2,0.39,0.64,L
random,uneq,16,MAX,0.44,0.34,L
random,uneq,16,SRS,5.36,8.78,L
random,uneq,16,WAV,0.39,0.85,L
swiss,eq,4,B,0.02,0.231293,D
swiss,eq,4,LP1,0.09,0.28,D
swiss,eq,4,LP2,0.1,0.31,D
swiss,eq,4,MAX,-0.08,0.37,D
swiss,eq,4,SRS,-0.07,0.37,D
swiss,eq,4,WAV,0.11,0.27,D
swiss,eq,4,B,-0.37,0.097463,I
swiss,eq,4,LP1,-0.24,0.1,I
swiss,eq,4,LP2,-0.23,0.11,I
swiss,eq,4,MAX,-0.08,0.13,I
swiss,eq,4,SRS,-0.09,0.13,I
swiss,eq,4,WAV,-0.37,0.12,I
swiss,eq,4,B,0.37,0.091998,L
swiss,eq,4,LP1,0.42,0.13,L
swiss,eq,4,LP2,0.42,0.13,L
swiss,eq,4,MAX,0.53,0.17,L
swiss,eq,4,SRS,0.52,0.17,L
swiss,eq,4,WAV,0.4,0.13,L
swiss,eq,8,B,0.01,0.091637,D
swiss,eq,8,LP1,0.08,0.22,D
swiss,eq,8,LP2,0.07,0.24,D
swiss,eq,8,MAX,-0.04,0.33,D
swiss,eq,8,SRS,-0.04,0.33,D
swiss,eq,8,WAV,0.08,0.21,D
swiss,eq,8,B,-0.43,0.079046,I
swiss,eq,8,LP1,-0.32,0.09,I
swiss,eq,8,LP2,-0.29,0.1,I
swiss,eq,8,MAX,-0.05,0.13,I
swiss,eq,8,SRS,-0.05,0.13,I
swiss,eq,8,WAV,-0.47,0.09,I
swiss,eq,8,B,0.2,0.044845,L
swiss,eq,8,LP1,0.25,0.06,L
swiss,eq,8,LP2,0.25,0.06,L
swiss,eq,8,MAX,0.36,0.1,L
swiss,eq,8,SRS,0.36,0.1,L
swiss,eq,8,WAV,0.23,0.06,L
swiss,eq,16,B,-0.0,0.115415,D
swiss,eq,16,LP1,0.05,0.14,D
swiss,eq,16,LP2,0.05,0.15,D
swiss,eq,16,MAX,-0.01,0.26,D
swiss,eq,16,SRS,-0.01,0.26,D
swiss,eq,16,WAV,0.05,0.15,D
swiss,eq,16,B,-0.55,0.060869,I
swiss,eq,16,LP1,-0.41,0.08,I
swiss,eq,16,LP2,-0.39,0.09,I
swiss,eq,16,MAX,-0.03,0.14,I
swiss,eq,16,SRS,-0.03,0.13,I
swiss,eq,16,WAV,-0.61,0.07,I
swiss,eq,16,B,0.12,0.016776,L
swiss,eq,16,LP1,0.15,0.03,L
swiss,eq,16,LP2,0.16,0.03,L
swiss,eq,16,MAX,0.25,0.05,L
swiss,eq,16,SRS,0.25,0.05,L
swiss,eq,16,WAV,0.15,0.03,L
swiss,uneq,4,B,0.13,0.24,D
swiss,uneq,4,LP1,0.19,0.27,D
swiss,uneq,4,LP2,0.19,0.29,D
swiss,uneq,4,MAX,0.05,0.36,D
swiss,uneq,4,SRS,-0.05,0.35,D
swiss,uneq,4,WAV,0.22,0.25,D
swiss,uneq,4,B,-0.22,0.1,I
swiss,uneq,4,LP1,-0.17,0.08,I
swiss,uneq,4,LP2,-0.17,0.08,I
swiss,uneq,4,MAX,-0.04,0.13,I
swiss,uneq,4,SRS,-0.06,0.1,I
swiss,uneq,4,WAV,-0.21,0.08,I
swiss,uneq,4,B,1.11,1.56,L
swiss,uneq,4,LP1,1.19,1.57,L
swiss,uneq,4,LP2,1.22,1.63,L
swiss,uneq,4,MAX,1.23,1.54,L
swiss,uneq,4,SRS,6.24,3.84,L
swiss,uneq,4,WAV,1.15,1.45,L
swiss,uneq,8,B,0.11,0.2,D
swiss,uneq,8,LP1,0.14,0.24,D
swiss,uneq,8,LP2,0.14,0.26,D
swiss,uneq,8,MAX,0.06,0.33,D
swiss,uneq,8,SRS,-0.06,0.33,D
swiss,uneq,8,WAV,0.15,0.24,D
swiss,uneq,8,B,-0.22,0.1,I
swiss,uneq,8,LP1,-0.15,0.09,I
swiss,uneq,8,LP2,-0.15,0.09,I
swiss,uneq,8,MAX,-0.02,0.13,I
swiss,uneq,8,SRS,-0.03,0.1,I
swiss,uneq,8,WAV,-0.23,0.07,I
swiss,uneq,8,B,0.86,1.03,L
swiss,uneq,8,LP1,0.89,0.92,L
swiss,uneq,8,LP2,0.97,1.01,L
swiss,uneq,8,MAX,1.0,0.99,L
swiss,uneq,8,SRS,4.72,1.93,L
swiss,uneq,8,WAV,0.89,0.95,L
swiss,uneq,16,B,0.0,0.14,D
swiss,uneq,16,LP1,0.07,0.15,D
swiss,uneq,16,LP2,0.06,0.16,D
swiss,uneq,16,MAX,0.01,0.26,D
swiss,uneq,16,SRS,-0.14,0.25,D
swiss,uneq,16,WAV,0.06,0.16,D
swiss,uneq,16,B,-0.27,0.1,I
swiss,uneq,16,LP1,-0.2,0.08,I
swiss,uneq,16,LP2,-0.18,0.08,I
swiss,uneq,16,MAX,-0.07,0.1,I
swiss,uneq,16,SRS,-0.02,0.11,I
swiss,uneq,16,WAV,-0.23,0.08,I
swiss,uneq,16,B,0.57,0.44,L
swiss,uneq,16,LP1,0.76,0.58,L
swiss,uneq,16,LP2,0.75,0.58,L
swiss,uneq,16,MAX,0.78,0.57,L
swiss,uneq,16,SRS,3.33,0.88,L
swiss,uneq,16,WAV,0.73,0.58,L
random,eq,4,B,0.157984,0.079173,V
random,eq,4,GRZ,0.00514,0.178081,D
random,eq,4,GRZ,-0.391862,0.078949,I
random,eq,4,GRZ,0.422183,0.084517,L
random,eq,4,GRZ,0.148888,0.068053,V
random,eq,8,B,0.107392,0.050592,V
random,eq,8,GRZ,0.033949,0.162697,D
random,eq,8,GRZ,-0.477968,0.094206,I
random,eq,8,GRZ,0.237302,0.04977,L
random,eq,8,GRZ,0.102496,0.043633,V
random,eq,16,B,0.105314,0.043222,V
random,eq,16,GRZ,-0.118753,0.222348,D
random,eq,16,GRZ,-0.425555,0.071392,I
random,eq,16,GRZ,0.392556,0.848621,L
random,eq,16,GRZ,0.084469,0.023684,V
clust,eq,4,B,0.159144,0.051305,V
clust,eq,4,GRZ,-0.047196,0.207146,D
clust,eq,4,GRZ,-0.499596,0.229305,I
clust,eq,4,GRZ,0.356458,0.07036,L
clust,eq,4,GRZ,0.145592,0.075854,V
clust,eq,8,B,0.138608,0.05523,V
clust,eq,8,GRZ,-0.00681,0.120618,D
clust,eq,8,GRZ,-0.577104,0.094576,I
clust,eq,8,GRZ,0.230568,0.057252,L
clust,eq,8,GRZ,0.138368,0.057845,V
clust,eq,16,B,0.200288,0.061802,V
clust,eq,16,GRZ,-0.007189,0.092783,D
clust,eq,16,GRZ,-0.655114,0.051272,I
clust,eq,16,GRZ,0.170615,0.038094,L
clust,eq,16,GRZ,0.148672,0.059327,V
grid,eq,4,B,0.1664,0.102328,V
grid,eq,4,GRZ,0.106631,0.152688,D
grid,eq,4,GRZ,-0.378741,0.080602,I
grid,eq,4,GRZ,0.256416,0.032874,L
grid,eq,4,GRZ,0.118144,0.035117,V
grid,eq,16,B,0.101525,0.028666,V
grid,eq,16,GRZ,0.132447,0.085666,D
grid,eq,16,GRZ,-0.651406,0.09632,I
grid,eq,16,GRZ,0.12584,0.017007,L
grid,eq,16,GRZ,0.0664,0.012939,V
grid,eq,8,B,0.132643,0.063873,V
grid,eq,8,GRZ,-0.059895,0.183464,D
grid,eq,8,GRZ,-0.326409,0.076193,I
grid,eq,8,GRZ,0.588694,2.97901,L
grid,eq,8,GRZ,0.081089,0.035255,V
swiss,eq,4,B,0.184,0.078326,V
swiss,eq,4,GRZ,0.10581,0.261252,D
swiss,eq,4,GRZ,-0.469451,0.105974,I
swiss,eq,4,GRZ,0.400814,0.134138,L
swiss,eq,4,GRZ,0.140128,0.088215,V
swiss,eq,8,B,0.131904,0.045846,V
swiss,eq,8,GRZ,0.103186,0.145126,D
swiss,eq,8,GRZ,-0.536773,0.095364,I
swiss,eq,8,GRZ,0.2234,0.054127,L
swiss,eq,8,GRZ,0.090496,0.048119,V
swiss,eq,16,B,0.10592,0.027646,V
swiss,eq,16,GRZ,0.020251,0.127693,D
swiss,eq,16,GRZ,-0.64257,0.11683,I
swiss,eq,16,GRZ,0.142374,0.021817,L
swiss,eq,16,GRZ,0.08352,0.025855,V
