coord,prob,n,zones,zone_mode,sort_method,zonal_sort,exp_density,var_density,min_density,median_density,max_density,exp_IB,var_IB,min_IB,median_IB,max_IB,exp_LB,var_LB,min_LB,median_LB,max_LB
clust_uneq,default,4,"(2, 2)",sweep,lexico-xy,random,-0.25,0.18,-0.88,0.13,0.30,-0.18,0.02,-0.40,-0.20,0.09,0.67,0.92,0.23,0.59,20.13
swiss_eq,default,4,"(2, 2)",sweep,lexico-xy,random,0.11,0.05,-0.30,0.14,0.56,-0.29,0.01,-0.51,-0.30,-0.09,0.41,0.01,0.16,0.39,0.72
swiss_uneq,default,4,"(2, 2)",sweep,lexico-xy,random,0.16,0.13,-0.27,0.07,0.87,-0.18,0.01,-0.36,-0.15,0.10,1.17,2.32,0.43,1.58,11.83
grid_eq,default,4,"(2, 2)",sweep,lexico-xy,angle_0,0.00,0.00,0.00,0.00,0.00,-0.45,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(2, 2)",sweep,lexico-xy,angle_0,-0.16,0.02,-0.40,-0.12,0.36,-0.21,0.02,-0.51,-0.25,0.18,0.83,18.66,0.22,0.55,633.54
random_eq,default,4,"(2, 2)",sweep,lexico-xy,angle_0,0.02,0.05,-0.47,0.10,0.38,-0.29,0.02,-0.48,-0.28,-0.11,0.39,0.01,0.19,0.37,0.62
random_uneq,default,4,"(2, 2)",sweep,lexico-xy,angle_0,-0.14,0.10,-0.73,-0.04,0.54,-0.21,0.01,-0.43,-0.22,0.03,0.71,3.29,0.22,0.48,98.53
clust_eq,default,4,"(2, 2)",sweep,lexico-xy,angle_0,-0.07,0.07,-0.63,0.07,0.34,-0.29,0.02,-0.75,-0.32,0.05,0.38,0.01,0.15,0.36,0.62
clust_uneq,default,4,"(2, 2)",sweep,lexico-xy,angle_0,-0.29,0.09,-0.77,-0.29,0.29,-0.22,0.01,-0.41,-0.23,-0.03,0.65,0.93,0.23,0.55,20.13
swiss_eq,default,4,"(2, 2)",sweep,lexico-xy,angle_0,0.06,0.13,-0.56,0.14,0.67,-0.28,0.01,-0.43,-0.28,-0.02,0.45,0.01,0.25,0.42,0.79
swiss_uneq,default,4,"(2, 2)",sweep,lexico-xy,angle_0,0.14,0.06,-0.21,0.07,0.75,-0.17,0.01,-0.30,-0.16,0.20,1.17,2.35,0.42,1.60,11.88
grid_eq,default,4,"(2, 2)",sweep,lexico-xy,distance_0,0.00,0.00,0.00,0.00,0.00,-0.45,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(2, 2)",sweep,lexico-xy,distance_0,-0.14,0.03,-0.40,-0.12,0.36,-0.18,0.02,-0.39,-0.20,0.18,0.79,18.64,0.23,0.52,633.54
random_eq,default,4,"(2, 2)",sweep,lexico-xy,distance_0,0.07,0.03,-0.31,0.12,0.30,-0.31,0.01,-0.56,-0.29,-0.12,0.36,0.01,0.19,0.33,0.66
random_uneq,default,4,"(2, 2)",sweep,lexico-xy,distance_0,-0.11,0.05,-0.42,-0.09,0.43,-0.26,0.01,-0.48,-0.25,0.09,0.71,3.29,0.20,0.47,98.44
clust_eq,default,4,"(2, 2)",sweep,lexico-xy,distance_0,-0.07,0.05,-0.47,0.05,0.21,-0.32,0.03,-0.75,-0.25,-0.03,0.38,0.00,0.25,0.36,0.60
clust_uneq,default,4,"(2, 2)",sweep,lexico-xy,distance_0,-0.28,0.07,-0.77,-0.26,0.24,-0.25,0.02,-0.48,-0.25,0.07,0.65,0.92,0.23,0.54,20.13
swiss_eq,default,4,"(2, 2)",sweep,lexico-xy,distance_0,0.07,0.06,-0.38,0.09,0.55,-0.35,0.01,-0.55,-0.34,-0.19,0.43,0.02,0.21,0.40,0.78
swiss_uneq,default,4,"(2, 2)",sweep,lexico-xy,distance_0,0.17,0.09,-0.25,0.07,0.80,-0.19,0.01,-0.35,-0.17,0.04,1.13,2.41,0.29,1.59,14.18
grid_eq,default,4,"(2, 2)",sweep,lexico-xy,projection,0.00,0.00,0.00,0.00,0.00,-0.45,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(2, 2)",sweep,lexico-xy,projection,-0.16,0.02,-0.40,-0.12,0.36,-0.21,0.02,-0.51,-0.25,0.18,0.83,18.66,0.22,0.55,633.54
random_eq,default,4,"(2, 2)",sweep,lexico-xy,projection,0.01,0.02,-0.30,0.06,0.30,-0.32,0.01,-0.56,-0.31,-0.09,0.38,0.01,0.15,0.36,0.66
random_uneq,default,4,"(2, 2)",sweep,lexico-xy,projection,-0.11,0.05,-0.42,-0.09,0.43,-0.26,0.01,-0.48,-0.25,0.09,0.71,3.29,0.20,0.47,98.44
clust_eq,default,4,"(2, 2)",sweep,lexico-xy,projection,-0.07,0.08,-0.56,0.08,0.36,-0.32,0.02,-0.75,-0.32,0.00,0.38,0.01,0.24,0.37,0.63
clust_uneq,default,4,"(2, 2)",sweep,lexico-xy,projection,-0.26,0.17,-0.89,0.10,0.37,-0.24,0.01,-0.42,-0.23,-0.00,0.67,0.92,0.22,0.58,20.13
swiss_eq,default,4,"(2, 2)",sweep,lexico-xy,projection,0.12,0.06,-0.35,0.15,0.55,-0.37,0.01,-0.55,-0.37,-0.20,0.40,0.02,0.14,0.35,0.78
swiss_uneq,default,4,"(2, 2)",sweep,lexico-xy,projection,0.17,0.08,-0.24,0.08,0.82,-0.20,0.01,-0.35,-0.17,0.04,1.14,2.40,0.34,1.61,11.77
grid_eq,default,4,"(2, 2)",sweep,lexico-xy,center,0.00,0.00,0.00,0.00,0.00,-0.45,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(2, 2)",sweep,lexico-xy,center,-0.11,0.08,-0.59,-0.04,0.45,-0.14,0.01,-0.41,-0.13,0.07,0.77,18.65,0.23,0.46,633.51
random_eq,default,4,"(2, 2)",sweep,lexico-xy,center,0.01,0.16,-0.61,0.03,0.58,-0.23,0.01,-0.41,-0.25,-0.06,0.33,0.01,0.16,0.32,0.55
random_uneq,default,4,"(2, 2)",sweep,lexico-xy,center,-0.07,0.05,-0.45,-0.09,0.49,-0.25,0.01,-0.45,-0.24,-0.04,0.70,3.31,0.14,0.44,98.59
clust_eq,default,4,"(2, 2)",sweep,lexico-xy,center,-0.08,0.13,-0.75,0.11,0.36,-0.20,0.02,-0.51,-0.25,0.11,0.36,0.01,0.21,0.35,0.65
clust_uneq,default,4,"(2, 2)",sweep,lexico-xy,center,-0.23,0.19,-0.91,0.06,0.32,-0.16,0.02,-0.48,-0.14,0.07,0.67,0.92,0.18,0.59,20.12
swiss_eq,default,4,"(2, 2)",sweep,lexico-xy,center,0.10,0.09,-0.35,0.08,0.70,-0.18,0.01,-0.33,-0.16,-0.01,0.41,0.01,0.20,0.40,0.67
swiss_uneq,default,4,"(2, 2)",sweep,lexico-xy,center,0.16,0.05,-0.21,0.14,0.69,-0.15,0.00,-0.29,-0.15,-0.01,1.15,2.38,0.37,1.56,15.81
grid_eq,default,4,"(2, 2)",sweep,lexico-xy,spiral,0.00,0.00,0.00,0.00,0.00,-0.45,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(2, 2)",sweep,lexico-xy,spiral,-0.15,0.02,-0.38,-0.11,0.35,-0.21,0.02,-0.51,-0.25,0.18,0.83,18.66,0.22,0.55,633.54
random_eq,default,4,"(2, 2)",sweep,lexico-xy,spiral,-0.03,0.10,-0.58,-0.04,0.47,-0.31,0.02,-0.57,-0.34,-0.02,0.40,0.01,0.20,0.40,0.62
random_uneq,default,4,"(2, 2)",sweep,lexico-xy,spiral,-0.14,0.11,-0.72,-0.07,0.56,-0.19,0.01,-0.40,-0.20,0.03,0.71,3.29,0.22,0.49,98.53
clust_eq,default,4,"(2, 2)",sweep,lexico-xy,spiral,-0.07,0.07,-0.63,0.07,0.34,-0.29,0.02,-0.75,-0.32,0.05,0.38,0.01,0.15,0.36,0.62
clust_uneq,default,4,"(2, 2)",sweep,lexico-xy,spiral,-0.29,0.06,-0.76,-0.30,0.25,-0.24,0.01,-0.41,-0.24,-0.03,0.66,0.92,0.20,0.58,20.13
swiss_eq,default,4,"(2, 2)",sweep,lexico-xy,spiral,0.06,0.13,-0.56,0.14,0.67,-0.28,0.01,-0.43,-0.28,-0.02,0.45,0.01,0.25,0.42,0.79
swiss_uneq,default,4,"(2, 2)",sweep,lexico-xy,spiral,0.13,0.06,-0.20,0.07,0.75,-0.20,0.01,-0.31,-0.16,0.06,1.18,2.35,0.42,1.59,11.88
grid_eq,default,4,"(2, 2)",sweep,lexico-xy,max,0.00,0.00,0.00,0.00,0.00,-0.45,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(2, 2)",sweep,lexico-xy,max,-0.14,0.02,-0.39,-0.10,0.41,-0.26,0.01,-0.49,-0.25,0.06,0.79,18.70,0.21,0.53,633.59
random_eq,default,4,"(2, 2)",sweep,lexico-xy,max,0.00,0.09,-0.60,0.13,0.42,-0.33,0.01,-0.54,-0.33,-0.12,0.39,0.01,0.22,0.39,0.66
random_uneq,default,4,"(2, 2)",sweep,lexico-xy,max,-0.12,0.06,-0.55,-0.04,0.57,-0.25,0.01,-0.48,-0.23,0.03,0.75,3.31,0.18,0.52,98.58
clust_eq,default,4,"(2, 2)",sweep,lexico-xy,max,-0.05,0.08,-0.54,0.09,0.38,-0.31,0.01,-0.61,-0.31,-0.09,0.38,0.00,0.25,0.36,0.55
clust_uneq,default,4,"(2, 2)",sweep,lexico-xy,max,-0.29,0.05,-0.62,-0.27,0.22,-0.25,0.02,-0.52,-0.25,0.08,0.64,0.93,0.21,0.54,20.13
swiss_eq,default,4,"(2, 2)",sweep,lexico-xy,max,0.07,0.10,-0.58,0.10,0.58,-0.25,0.02,-0.45,-0.19,-0.01,0.44,0.02,0.21,0.40,0.78
swiss_uneq,default,4,"(2, 2)",sweep,lexico-xy,max,0.19,0.09,-0.33,0.08,0.80,-0.20,0.01,-0.35,-0.17,0.04,1.17,2.36,0.29,1.61,11.80
grid_eq,default,4,"(2, 2)",sweep,lexico-xy,hilbert,0.00,0.00,0.00,0.00,0.00,-0.45,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(2, 2)",sweep,lexico-xy,hilbert,-0.15,0.02,-0.38,-0.10,0.38,-0.21,0.02,-0.51,-0.25,0.18,0.83,18.66,0.22,0.55,633.54
random_eq,default,4,"(2, 2)",sweep,lexico-xy,hilbert,-0.01,0.02,-0.33,0.03,0.30,-0.37,0.01,-0.56,-0.40,-0.12,0.42,0.01,0.20,0.43,0.66
random_uneq,default,4,"(2, 2)",sweep,lexico-xy,hilbert,-0.15,0.02,-0.44,-0.10,0.34,-0.23,0.02,-0.48,-0.24,0.09,0.76,3.30,0.19,0.53,98.58
clust_eq,default,4,"(2, 2)",sweep,lexico-xy,hilbert,-0.09,0.07,-0.58,0.04,0.22,-0.35,0.03,-0.81,-0.29,0.02,0.39,0.01,0.15,0.39,0.56
clust_uneq,default,4,"(2, 2)",sweep,lexico-xy,hilbert,-0.26,0.15,-0.89,0.09,0.29,-0.25,0.01,-0.42,-0.27,0.03,0.67,0.92,0.23,0.59,20.13
swiss_eq,default,4,"(2, 2)",sweep,lexico-xy,hilbert,0.02,0.06,-0.35,-0.03,0.55,-0.35,0.01,-0.55,-0.35,-0.15,0.46,0.01,0.26,0.44,0.78
swiss_uneq,default,4,"(2, 2)",sweep,lexico-xy,hilbert,0.14,0.11,-0.34,-0.06,0.81,-0.17,0.01,-0.35,-0.15,0.04,1.15,2.41,0.41,1.44,15.82
grid_eq,default,4,"(2, 2)",sweep,lexico-xy,farthest,0.00,0.00,0.00,0.00,0.00,-0.45,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(2, 2)",sweep,lexico-xy,farthest,-0.11,0.04,-0.48,-0.03,0.52,-0.17,0.01,-0.37,-0.15,0.06,0.77,18.71,0.16,0.52,633.59
random_eq,default,4,"(2, 2)",sweep,lexico-xy,farthest,0.02,0.09,-0.61,0.01,0.45,-0.30,0.01,-0.56,-0.32,-0.06,0.37,0.01,0.21,0.36,0.55
random_uneq,default,4,"(2, 2)",sweep,lexico-xy,farthest,-0.13,0.16,-0.77,0.08,0.57,-0.16,0.01,-0.38,-0.12,0.07,0.70,3.29,0.17,0.48,98.48
clust_eq,default,4,"(2, 2)",sweep,lexico-xy,farthest,-0.07,0.09,-0.68,0.11,0.24,-0.38,0.03,-0.81,-0.34,-0.07,0.35,0.01,0.21,0.35,0.53
clust_uneq,default,4,"(2, 2)",sweep,lexico-xy,farthest,-0.25,0.09,-0.77,-0.29,0.29,-0.17,0.02,-0.48,-0.15,0.08,0.64,0.92,0.25,0.55,20.13
swiss_eq,default,4,"(2, 2)",sweep,lexico-xy,farthest,0.12,0.13,-0.54,0.23,0.70,-0.19,0.01,-0.33,-0.19,0.01,0.40,0.01,0.21,0.38,0.72
swiss_uneq,default,4,"(2, 2)",sweep,lexico-xy,farthest,0.16,0.07,-0.27,0.13,0.72,-0.16,0.01,-0.28,-0.15,0.06,1.19,2.33,0.43,1.46,14.19
grid_eq,default,4,"(2, 2)",sweep,lexico-xy,grid,0.00,0.00,0.00,0.00,0.00,-0.45,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(2, 2)",sweep,lexico-xy,grid,-0.10,0.02,-0.47,-0.08,0.46,-0.27,0.01,-0.48,-0.26,0.09,0.81,18.67,0.22,0.56,633.54
random_eq,default,4,"(2, 2)",sweep,lexico-xy,grid,-0.01,0.06,-0.38,-0.08,0.45,-0.33,0.01,-0.56,-0.33,-0.12,0.42,0.01,0.20,0.39,0.65
random_uneq,default,4,"(2, 2)",sweep,lexico-xy,grid,-0.12,0.03,-0.46,-0.13,0.53,-0.26,0.01,-0.48,-0.27,-0.03,0.74,3.31,0.19,0.53,98.58
clust_eq,default,4,"(2, 2)",sweep,lexico-xy,grid,-0.07,0.09,-0.61,0.10,0.22,-0.36,0.04,-0.81,-0.33,0.06,0.39,0.00,0.27,0.37,0.53
clust_uneq,default,4,"(2, 2)",sweep,lexico-xy,grid,-0.24,0.17,-0.91,0.03,0.29,-0.25,0.01,-0.48,-0.27,0.09,0.68,0.92,0.21,0.61,20.16
swiss_eq,default,4,"(2, 2)",sweep,lexico-xy,grid,0.05,0.11,-0.58,0.11,0.67,-0.26,0.01,-0.46,-0.27,-0.05,0.43,0.01,0.25,0.40,0.68
swiss_uneq,default,4,"(2, 2)",sweep,lexico-xy,grid,0.14,0.11,-0.34,-0.08,0.83,-0.19,0.01,-0.35,-0.16,0.04,1.20,2.33,0.41,1.58,11.88
grid_eq,default,4,"(2, 2)",sweep,lexico-xy,shell,0.00,0.00,0.00,0.00,0.00,-0.45,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(2, 2)",sweep,lexico-xy,shell,-0.11,0.08,-0.59,-0.03,0.46,-0.14,0.01,-0.41,-0.13,0.07,0.77,18.65,0.23,0.46,633.51
random_eq,default,4,"(2, 2)",sweep,lexico-xy,shell,0.02,0.16,-0.60,0.02,0.58,-0.23,0.01,-0.41,-0.25,-0.06,0.33,0.01,0.16,0.32,0.55
random_uneq,default,4,"(2, 2)",sweep,lexico-xy,shell,-0.07,0.05,-0.45,-0.09,0.49,-0.25,0.01,-0.45,-0.24,-0.04,0.70,3.31,0.14,0.44,98.59
clust_eq,default,4,"(2, 2)",sweep,lexico-xy,shell,-0.08,0.13,-0.75,0.11,0.36,-0.20,0.02,-0.51,-0.25,0.11,0.36,0.01,0.21,0.35,0.65
clust_uneq,default,4,"(2, 2)",sweep,lexico-xy,shell,-0.23,0.19,-0.91,0.06,0.32,-0.16,0.02,-0.48,-0.14,0.07,0.67,0.92,0.18,0.59,20.12
swiss_eq,default,4,"(2, 2)",sweep,lexico-xy,shell,0.10,0.09,-0.35,0.08,0.70,-0.18,0.01,-0.33,-0.16,-0.01,0.41,0.01,0.20,0.40,0.67
swiss_uneq,default,4,"(2, 2)",sweep,lexico-xy,shell,0.16,0.05,-0.21,0.14,0.69,-0.15,0.00,-0.29,-0.15,-0.01,1.15,2.38,0.37,1.56,15.81
grid_eq,default,4,"(2, 2)",sweep,lexico-yx,lexico-xy,0.00,0.00,0.00,0.00,0.00,-0.45,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(2, 2)",sweep,lexico-yx,lexico-xy,-0.16,0.04,-0.57,-0.10,0.48,-0.24,0.02,-0.46,-0.24,0.18,0.78,18.77,0.25,0.55,633.63
random_eq,default,4,"(2, 2)",sweep,lexico-yx,lexico-xy,-0.01,0.08,-0.58,-0.10,0.48,-0.28,0.01,-0.46,-0.27,-0.11,0.40,0.01,0.26,0.38,0.57
random_uneq,default,4,"(2, 2)",sweep,lexico-yx,lexico-xy,-0.14,0.05,-0.54,-0.11,0.65,-0.19,0.01,-0.37,-0.17,0.02,0.70,3.34,0.19,0.46,98.63
clust_eq,default,4,"(2, 2)",sweep,lexico-yx,lexico-xy,-0.09,0.07,-0.55,-0.07,0.27,-0.27,0.03,-0.76,-0.30,-0.02,0.38,0.01,0.21,0.37,0.53
clust_uneq,default,4,"(2, 2)",sweep,lexico-yx,lexico-xy,-0.29,0.08,-0.86,-0.29,0.25,-0.21,0.01,-0.39,-0.22,0.04,0.67,0.93,0.20,0.59,20.13
swiss_eq,default,4,"(2, 2)",sweep,lexico-yx,lexico-xy,0.08,0.06,-0.34,0.12,0.63,-0.32,0.01,-0.59,-0.32,-0.14,0.45,0.01,0.22,0.42,0.68
swiss_uneq,default,4,"(2, 2)",sweep,lexico-yx,lexico-xy,0.20,0.06,-0.22,0.19,0.74,-0.20,0.00,-0.30,-0.19,0.07,1.13,2.39,0.34,1.51,11.96
grid_eq,default,4,"(2, 2)",sweep,lexico-yx,lexico-yx,0.00,0.00,0.00,0.00,0.00,-0.45,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(2, 2)",sweep,lexico-yx,lexico-yx,-0.16,0.04,-0.52,-0.10,0.44,-0.29,0.01,-0.46,-0.26,-0.04,0.77,18.78,0.25,0.56,633.63
random_eq,default,4,"(2, 2)",sweep,lexico-yx,lexico-yx,0.01,0.05,-0.40,0.08,0.47,-0.26,0.01,-0.53,-0.24,-0.11,0.38,0.02,0.15,0.35,0.72
random_uneq,default,4,"(2, 2)",sweep,lexico-yx,lexico-yx,-0.14,0.05,-0.57,-0.18,0.61,-0.20,0.01,-0.48,-0.22,-0.02,0.68,3.42,0.19,0.49,99.09
clust_eq,default,4,"(2, 2)",sweep,lexico-yx,lexico-yx,-0.09,0.09,-0.59,0.09,0.20,-0.35,0.03,-0.75,-0.33,-0.06,0.39,0.01,0.26,0.39,0.55
clust_uneq,default,4,"(2, 2)",sweep,lexico-yx,lexico-yx,-0.22,0.19,-0.87,0.09,0.26,-0.25,0.01,-0.41,-0.28,0.03,0.66,0.94,0.23,0.64,20.16
swiss_eq,default,4,"(2, 2)",sweep,lexico-yx,lexico-yx,0.06,0.06,-0.42,0.07,0.44,-0.28,0.02,-0.58,-0.29,-0.06,0.43,0.01,0.23,0.45,0.70
swiss_uneq,default,4,"(2, 2)",sweep,lexico-yx,lexico-yx,0.17,0.12,-0.35,0.13,0.80,-0.18,0.01,-0.31,-0.17,0.07,1.19,2.35,0.42,1.57,11.93
grid_eq,default,4,"(2, 2)",sweep,lexico-yx,random,0.00,0.05,-0.41,0.04,0.33,-0.29,0.02,-0.68,-0.32,-0.01,0.37,0.01,0.16,0.38,0.52
grid_uneq,default,4,"(2, 2)",sweep,lexico-yx,random,-0.14,0.05,-0.62,-0.11,0.60,-0.23,0.01,-0.43,-0.22,0.06,0.75,18.78,0.28,0.53,633.61
random_eq,default,4,"(2, 2)",sweep,lexico-yx,random,-0.04,0.15,-0.51,-0.19,0.67,-0.26,0.01,-0.54,-0.26,-0.11,0.37,0.01,0.16,0.37,0.58
random_uneq,default,4,"(2, 2)",sweep,lexico-yx,random,-0.12,0.06,-0.56,-0.13,0.52,-0.18,0.01,-0.40,-0.15,0.06,0.66,3.34,0.16,0.43,98.60
clust_eq,default,4,"(2, 2)",sweep,lexico-yx,random,-0.10,0.07,-0.58,-0.06,0.26,-0.26,0.04,-0.89,-0.24,0.09,0.40,0.01,0.23,0.37,0.55
clust_uneq,default,4,"(2, 2)",sweep,lexico-yx,random,-0.26,0.11,-0.83,-0.33,0.30,-0.18,0.01,-0.41,-0.15,-0.00,0.66,0.93,0.20,0.61,20.16
swiss_eq,default,4,"(2, 2)",sweep,lexico-yx,random,0.14,0.11,-0.42,0.27,0.64,-0.21,0.01,-0.37,-0.22,0.00,0.40,0.01,0.21,0.40,0.68
swiss_uneq,default,4,"(2, 2)",sweep,lexico-yx,random,0.22,0.08,-0.35,0.21,0.78,-0.16,0.00,-0.31,-0.15,-0.02,1.14,2.39,0.34,1.48,13.71
grid_eq,default,4,"(2, 2)",sweep,lexico-yx,angle_0,0.00,0.00,0.00,0.00,0.00,-0.45,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(2, 2)",sweep,lexico-yx,angle_0,-0.18,0.04,-0.56,-0.11,0.44,-0.24,0.02,-0.46,-0.24,0.18,0.78,18.77,0.25,0.55,633.63
random_eq,default,4,"(2, 2)",sweep,lexico-yx,angle_0,-0.03,0.10,-0.78,0.10,0.48,-0.25,0.02,-0.57,-0.25,-0.01,0.40,0.01,0.21,0.38,0.72
random_uneq,default,4,"(2, 2)",sweep,lexico-yx,angle_0,-0.14,0.09,-0.76,-0.07,0.69,-0.22,0.01,-0.44,-0.23,-0.06,0.68,3.36,0.21,0.47,99.09
clust_eq,default,4,"(2, 2)",sweep,lexico-yx,angle_0,-0.07,0.07,-0.55,0.09,0.22,-0.28,0.02,-0.63,-0.32,-0.02,0.39,0.01,0.17,0.38,0.58
clust_uneq,default,4,"(2, 2)",sweep,lexico-yx,angle_0,-0.28,0.11,-0.84,-0.22,0.26,-0.22,0.01,-0.43,-0.24,-0.02,0.65,0.94,0.23,0.55,20.16
swiss_eq,default,4,"(2, 2)",sweep,lexico-yx,angle_0,0.05,0.13,-0.59,0.12,0.63,-0.27,0.01,-0.46,-0.29,-0.07,0.45,0.01,0.20,0.44,0.65
swiss_uneq,default,4,"(2, 2)",sweep,lexico-yx,angle_0,0.15,0.06,-0.27,0.15,0.72,-0.18,0.01,-0.29,-0.16,0.22,1.17,2.35,0.42,1.57,11.81
grid_eq,default,4,"(2, 2)",sweep,lexico-yx,distance_0,0.00,0.00,0.00,0.00,0.00,-0.45,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(2, 2)",sweep,lexico-yx,distance_0,-0.12,0.05,-0.44,-0.10,0.45,-0.20,0.01,-0.40,-0.22,0.18,0.77,18.69,0.22,0.50,633.57
random_eq,default,4,"(2, 2)",sweep,lexico-yx,distance_0,0.06,0.03,-0.32,0.13,0.29,-0.29,0.01,-0.52,-0.31,-0.07,0.35,0.01,0.16,0.33,0.62
