Popu,pi,n,Method,mean,std,Measure
swiss,uneq,4,nMC,0.13,0.288971,D
swiss,uneq,4,LP1,0.19,0.27,D
swiss,uneq,4,LP2,0.19,0.29,D
swiss,uneq,4,MAX,0.05,0.36,D
swiss,uneq,4,SRS,-0.05,0.35,D
swiss,uneq,4,WAV,0.22,0.25,D
swiss,uneq,4,nMC,-0.22,0.08252,I
swiss,uneq,4,LP1,-0.17,0.08,I
swiss,uneq,4,LP2,-0.17,0.08,I
swiss,uneq,4,MAX,-0.04,0.13,I
swiss,uneq,4,SRS,-0.06,0.1,I
swiss,uneq,4,WAV,-0.21,0.08,I
swiss,uneq,4,nMC,1.11,1.543722,L
swiss,uneq,4,LP1,1.19,1.57,L
swiss,uneq,4,LP2,1.22,1.63,L
swiss,uneq,4,MAX,1.23,1.54,L
swiss,uneq,4,SRS,2.2,3.84,L
swiss,uneq,4,WAV,1.15,1.45,L
swiss,uneq,8,nMC,0.11,0.184839,D
swiss,uneq,8,LP1,0.14,0.24,D
swiss,uneq,8,LP2,0.14,0.26,D
swiss,uneq,8,MAX,0.06,0.33,D
swiss,uneq,8,SRS,-0.06,0.33,D
swiss,uneq,8,WAV,0.15,0.24,D
swiss,uneq,8,nMC,-0.22,0.07223,I
swiss,uneq,8,LP1,-0.15,0.09,I
swiss,uneq,8,LP2,-0.15,0.09,I
swiss,uneq,8,MAX,-0.02,0.13,I
swiss,uneq,8,SRS,-0.03,0.1,I
swiss,uneq,8,WAV,-0.23,0.07,I
swiss,uneq,8,nMC,0.86,0.982896,L
swiss,uneq,8,LP1,0.89,0.92,L
swiss,uneq,8,LP2,0.97,1.01,L
swiss,uneq,8,MAX,1.0,0.99,L
swiss,uneq,8,SRS,2.2,1.93,L
swiss,uneq,8,WAV,0.89,0.95,L
swiss,uneq,16,nMC,0.0,0.146039,D
swiss,uneq,16,LP1,0.07,0.15,D
swiss,uneq,16,LP2,0.06,0.16,D
swiss,uneq,16,MAX,0.01,0.26,D
swiss,uneq,16,SRS,-0.14,0.25,D
swiss,uneq,16,WAV,0.06,0.16,D
swiss,uneq,16,nMC,-0.25,0.112527,I
swiss,uneq,16,LP1,-0.2,0.08,I
swiss,uneq,16,LP2,-0.18,0.08,I
swiss,uneq,16,MAX,-0.07,0.1,I
swiss,uneq,16,SRS,-0.02,0.11,I
swiss,uneq,16,WAV,-0.23,0.08,I
swiss,uneq,16,nMC,0.57,0.642213,L
swiss,uneq,16,LP1,0.76,0.58,L
swiss,uneq,16,LP2,0.75,0.58,L
swiss,uneq,16,MAX,0.78,0.57,L
swiss,uneq,16,SRS,2.2,0.88,L
swiss,uneq,16,WAV,0.73,0.58,L
random,eq,4,nMC,0.157984,0.079173,V
random,eq,4,GRZ,0.00514,0.178081,D
random,eq,4,GRZ,-0.391862,0.078949,I
random,eq,4,GRZ,0.422183,0.084517,L
random,eq,4,GRZ,0.148888,0.068053,V
random,eq,8,nMC,0.107392,0.050592,V
random,eq,8,GRZ,0.033949,0.162697,D
random,eq,8,GRZ,-0.477968,0.094206,I
random,eq,8,GRZ,0.237302,0.04977,L
random,eq,8,GRZ,0.102496,0.043633,V
random,eq,16,nMC,0.105314,0.043222,V
random,eq,16,GRZ,0.022700, 0.088284,D
random,eq,16,GRZ,-0.600125, 0.077446,I
random,eq,16,GRZ,0.123687, 0.027248,L
random,eq,16,GRZ,0.067392, 0.026525,V
clust,eq,4,nMC,0.159144,0.051305,V
clust,eq,4,GRZ,-0.047196,0.207146,D
clust,eq,4,GRZ,-0.499596,0.229305,I
clust,eq,4,GRZ,0.356458,0.07036,L
clust,eq,4,GRZ,0.145592,0.075854,V
clust,eq,8,nMC,0.138608,0.05523,V
clust,eq,8,GRZ,-0.00681,0.120618,D
clust,eq,8,GRZ,-0.577104,0.094576,I
clust,eq,8,GRZ,0.230568,0.057252,L
clust,eq,8,GRZ,0.138368,0.057845,V
clust,eq,16,nMC,0.200288,0.061802,V
clust,eq,16,GRZ,-0.007189,0.092783,D
clust,eq,16,GRZ,-0.655114,0.051272,I
clust,eq,16,GRZ,0.170615,0.038094,L
clust,eq,16,GRZ,0.148672,0.059327,V
grid,eq,4,nMC,0.1664,0.102328,V
grid,eq,4,GRZ,0.106631,0.152688,D
grid,eq,4,GRZ,-0.378741,0.080602,I
grid,eq,4,GRZ,0.256416,0.032874,L
grid,eq,4,GRZ,0.118144,0.035117,V
grid,eq,16,nMC,0.101525,0.028666,V
grid,eq,16,GRZ,0.132447,0.085666,D
grid,eq,16,GRZ,-0.651406,0.09632,I
grid,eq,16,GRZ,0.12584,0.017007,L
grid,eq,16,GRZ,0.0664,0.012939,V
grid,eq,8,nMC,0.132643,0.063873,V
grid,eq,8,GRZ,0.202905,0.127784,D
grid,eq,8,GRZ,-0.550326,0.071871,I
grid,eq,8,GRZ,0.197885,0.05141,L
grid,eq,8,GRZ,0.0672,0.034341,V
swiss,eq,4,nMC,0.184,0.078326,V
swiss,eq,4,GRZ,0.10581,0.261252,D
swiss,eq,4,GRZ,-0.469451,0.105974,I
swiss,eq,4,GRZ,0.400814,0.134138,L
swiss,eq,4,GRZ,0.140128,0.088215,V
swiss,eq,8,nMC,0.131904,0.045846,V
swiss,eq,8,GRZ,0.103186,0.145126,D
swiss,eq,8,GRZ,-0.536773,0.095364,I
swiss,eq,8,GRZ,0.2234,0.054127,L
swiss,eq,8,GRZ,0.090496,0.048119,V
swiss,eq,16,nMC,0.10592,0.027646,V
swiss,eq,16,GRZ,0.020251,0.127693,D
swiss,eq,16,GRZ,-0.64257,0.11683,I
swiss,eq,16,GRZ,0.142374,0.021817,L
swiss,eq,16,GRZ,0.08352,0.025855,V
random,uneq,4,nMC,0.183924,0.129522,V
random,uneq,4,GRZ,-0.094367,0.174691,D
random,uneq,4,GRZ,-0.331545,0.079968,I
random,uneq,4,GRZ,0.694449,1.787961,L
random,uneq,4,GRZ,0.12585,0.088571,V
random,uneq,8,nMC,0.132248,0.067047,V
random,uneq,8,GRZ,-0.134665,0.245001,D
random,uneq,8,GRZ,-0.359888,0.074276,I
random,uneq,8,GRZ,0.519341,1.256762,L
random,uneq,8,GRZ,0.104305,0.062197,V
random,uneq,16,nMC,0.105314,0.043222,V
random,uneq,16,GRZ,-0.118753,0.222348,D
random,uneq,16,GRZ,-0.425555,0.071392,I
random,uneq,16,GRZ,0.392556,0.848621,L
random,uneq,16,GRZ,0.084469,0.023684,V
clust,uneq,4,nMC,0.16368,0.06611,V
clust,uneq,4,GRZ,-0.274445,0.319825,D
clust,uneq,4,GRZ,-0.338947,0.093227,I
clust,uneq,4,GRZ,0.648449,0.965822,L
clust,uneq,4,GRZ,0.121366,0.065979,V
clust,uneq,8,nMC,0.146252,0.051832,V
clust,uneq,8,GRZ,-0.026826,0.140152,D
clust,uneq,8,GRZ,-0.324253,0.07236,I
clust,uneq,8,GRZ,0.447522,0.637704,L
clust,uneq,8,GRZ,0.163281,0.066247,V
clust,uneq,16,nMC,0.17365,0.045836,V
clust,uneq,16,GRZ,-0.058083,0.135441,D
clust,uneq,16,GRZ,-0.355587,0.052795,I
clust,uneq,16,GRZ,0.334763,0.417193,L
clust,uneq,16,GRZ,0.192426,0.048569,V
grid,uneq,4,nMC,0.202623,0.122454,V
grid,uneq,4,GRZ,-0.086507,0.151954,D
grid,uneq,4,GRZ,-0.325912,0.089114,I
grid,uneq,4,GRZ,0.768012,4.25214,L
grid,uneq,4,GRZ,0.145637,0.098887,V
grid,uneq,8,nMC,0.132643,0.063873,V
grid,uneq,8,GRZ,-0.059895,0.183464,D
grid,uneq,8,GRZ,-0.366409,0.076193,I
grid,uneq,8,GRZ,0.588694,2.97901,L
grid,uneq,8,GRZ,0.081089,0.035255,V
grid,uneq,16,nMC,0.128094,0.046588,V
grid,uneq,16,GRZ,-0.095119,0.192238,D
grid,uneq,16,GRZ,-0.375555,0.07166,I
grid,uneq,16,GRZ,0.443431,2.088649,L
grid,uneq,16,GRZ,0.101462,0.0441,V
swiss,uneq,4,nMC,0.106358,0.085284,V
swiss,uneq,4,GRZ,0.198617,0.285829,D
swiss,uneq,4,GRZ,-0.255954,0.081192,I
swiss,uneq,4,GRZ,1.154211,1.591395,L
swiss,uneq,4,GRZ,0.101669,0.072864,V
swiss,uneq,8,nMC,0.14451,0.084666,V
swiss,uneq,8,GRZ,0.150349,0.227671,D
swiss,uneq,8,GRZ,-0.273491,0.049093,I
swiss,uneq,8,GRZ,0.902453,1.014312,L
swiss,uneq,8,GRZ,0.129261,0.082354,V
swiss,uneq,16,nMC,0.104398,0.082841,V
swiss,uneq,16,GRZ,0.155336,0.178131,D
swiss,uneq,16,GRZ,-0.255843,0.054756,I
swiss,uneq,16,GRZ,0.926304,0.988973,L
swiss,uneq,16,GRZ,0.132005,0.063552,V
random,eq,4,BnM,0.157984,0.079173,V
random,eq,8,BnM,0.107392,0.050592,V
random,uneq,4,BnM,0.183924,0.129522,V
random,uneq,8,BnM,0.132248,0.067047,V
random,uneq,16,BnM,0.105314,0.043222,V
clust,eq,4,BnM,0.159144,0.051305,V
clust,eq,8,BnM,0.138608,0.05523,V
clust,eq,16,BnM,0.200288,0.061802,V
clust,uneq,4,BnM,0.16368,0.06611,V
clust,uneq,8,BnM,0.146252,0.051832,V
clust,uneq,16,BnM,0.17365,0.045836,V
grid,eq,8,BnM,0.118144,0.035117,V
grid,eq,16,BnM,0.101525,0.028666,V
grid,uneq,4,BnM,0.202623,0.122454,V
grid,uneq,8,BnM,0.132643,0.063873,V
grid,uneq,16,BnM,0.128094,0.046588,V
swiss,eq,4,BnM,0.184,0.078326,V
swiss,eq,8,BnM,0.131904,0.045846,V
swiss,eq,16,BnM,0.10592,0.027646,V
swiss,uneq,4,BnM,0.106358,0.085284,V
swiss,uneq,8,BnM,0.14451,0.084666,V
swiss,uneq,16,BnM,0.104398,0.082841,V
