x,y,AREA,AREA_A,AREA_B
2667050,1248170,23.25,13.03,10.22
2666370,1248770,44.05,2.49,41.57
2645800,1253360,0.0,0.0,0.0
2658710,1271880,36.1,36.1,0.0
2650880,1258570,5.05,1.03,4.02
2627600,1261840,13.65,1.02,12.62
2668400,1268600,0.0,0.0,0.0
2663860,1251490,7.28,1.33,5.95
2655960,1230920,7.86,1.8,6.06
2656310,1231440,3.17,3.17,0.0
2672860,1235120,16.18,5.09,11.08
2670970,1236880,11.11,5.14,5.97
2671900,1235410,10.91,10.91,0.0
2670760,1235810,3.29,3.29,0.0
2671730,1236220,18.24,16.74,1.5
2632440,1269660,10.79,1.96,8.83
2631920,1269420,18.06,5.07,12.99
2633280,1270820,6.78,1.68,5.1
2672840,1231920,27.95,24.86,3.09
2660900,1255950,0.0,0.0,0.0
2665360,1251920,6.91,6.91,0.0
2664620,1252350,4.37,4.37,0.0
2663390,1247020,10.86,7.45,3.41
2664110,1249460,12.62,2.44,10.18
2664660,1250010,6.4,1.75,4.64
2664830,1249270,1.94,1.94,0.0
2665060,1248740,0.92,0.92,0.0
2665180,1248430,1.81,1.81,0.0
2673400,1225050,33.87,10.58,23.29
2637040,1241880,16.11,1.63,14.47
2665520,1268530,67.98,34.72,33.26
2628450,1265850,28.81,0.86,27.95
2624960,1265480,16.7,1.16,15.54
2662960,1273300,19.39,10.08,9.32
2649590,1251160,25.07,1.28,23.78
2633480,1237850,20.51,1.78,18.73
2670750,1240660,15.76,11.2,4.56
2671180,1240750,16.54,11.04,5.51
2671030,1239270,4.17,1.55,2.62
2670410,1240980,17.52,17.52,0.0
2660050,1240220,3.36,0.49,2.87
2652700,1256180,0.0,0.0,0.0
2645600,1240900,0.0,0.0,0.0
2671360,1226840,8.8,1.33,7.48
2670640,1250980,10.97,3.47,7.5
2644640,1237650,11.77,0.22,11.55
2646400,1237150,0.0,0.0,0.0
2664200,1251150,0.0,0.0,0.0
2666100,1250050,0.0,0.0,0.0
2665820,1249770,14.81,3.59,11.22
2635720,1237100,18.79,1.63,17.16
2636460,1238110,5.45,0.38,5.07
2649600,1267170,20.69,0.76,19.93
2653930,1259900,9.18,0.27,8.91
2670080,1242060,32.18,32.18,0.0
2662190,1261880,28.87,0.58,28.29
2660010,1263350,11.98,3.8,8.18
2656700,1265000,0.0,0.0,0.0
2656040,1258210,48.26,48.26,0.0
2659840,1260040,6.51,0.97,5.54
2659940,1259970,16.84,2.75,14.1
2662140,1252180,3.98,0.6,3.38
2649570,1257360,12.81,1.27,11.53
2633110,1268460,7.01,1.33,5.68
2639510,1237550,20.18,0.93,19.26
2657430,1240660,47.65,47.65,0.0
2665310,1270080,8.68,6.96,1.73
2741090,1249960,7.33,2.07,5.26
2735370,1250210,2.92,2.92,0.0
2745200,1247250,0.0,0.0,0.0
2755930,1257190,0.95,0.16,0.79
2583280,1209060,3.96,2.39,1.57
2593370,1183430,1374.17,393.83,980.34
2635800,1186070,3.06,0.19,2.87
2611730,1182510,5.19,4.69,0.51
2612570,1180130,15.9,2.96,12.94
2613600,1174600,13.4,2.19,11.21
2611580,1177570,124.84,124.84,0.0
2625440,1208790,0.2,0.2,0.0
2620880,1235800,3.2,3.2,0.0
2616850,1233350,5.11,2.6,2.51
2576140,1212330,114.63,114.63,0.0
2579970,1207470,0.0,0.0,0.0
2576600,1205350,0.0,0.0,0.0
2577780,1205760,3.82,1.81,2.01
2590620,1231820,0.73,0.4,0.33
2591120,1231780,2.09,0.67,1.42
2593820,1232760,0.0,0.0,0.0
2584870,1231830,0.0,0.0,0.0
2556450,1224070,19.69,3.38,16.31
2601880,1197700,5.17,0.68,4.49
2604130,1201470,1.83,0.93,0.9
2603580,1197260,0.88,0.25,0.63
2583450,1211790,0.0,0.0,0.0
2630070,1193960,0.42,0.42,0.0
2602480,1197730,3.17,0.26,2.92
2594270,1215710,22.73,6.21,16.53
2621080,1182100,13.92,13.92,0.0
2588770,1202470,1.24,1.24,0.0
2597980,1203540,7.19,7.19,0.0
2587840,1220880,3.71,3.71,0.0
2599460,1223320,5.36,1.77,3.59
2599900,1225650,4.2,0.92,3.28
2585300,1210160,1.21,1.21,0.0
2588410,1213520,109.49,109.49,0.0
2592450,1219150,13.89,0.24,13.65
2601590,1225470,10.46,10.46,0.0
2593050,1220530,10.01,0.22,9.79
2592100,1223980,0.0,0.0,0.0
2596350,1215340,32.97,15.36,17.61
2606300,1206930,43.95,1.83,42.12
2615330,1210520,3.98,2.29,1.69
2615440,1208990,12.12,12.12,0.0
2590700,1215100,0.0,0.0,0.0
2607530,1211180,2.48,2.48,0.0
2592440,1214960,14.86,1.93,12.94
2614520,1208510,1.49,1.49,0.0
2582250,1226500,25.72,8.77,16.95
2591370,1226670,3.52,3.52,0.0
2562580,1225130,40.63,40.63,0.0
2573470,1231130,2.4,1.67,0.74
2587530,1224930,4.47,0.8,3.67
2571320,1209350,3.39,1.74,1.65
2569810,1205010,497.81,497.81,0.0
2573680,1206990,2.83,0.71,2.13
2573040,1204650,18.34,12.83,5.51
2604220,1144970,8.93,0.44,8.48
2618400,1167440,2.57,1.05,1.52
2608500,1153730,9.51,1.05,8.46
2615690,1143960,19.08,5.71,13.37
2619250,1164850,2.86,2.65,0.21
2635080,1171100,0.98,0.98,0.0
2628000,1167300,0.0,0.0,0.0
2646420,1164810,7.71,0.35,7.36
2648860,1167130,5.06,0.84,4.22
2650610,1167410,60.3,2.13,58.16
2626820,1232520,6.22,2.92,3.3
2621200,1230930,16.0,7.15,8.85
2624950,1227460,28.52,9.65,18.87
2649060,1177790,4.39,1.17,3.22
2639470,1158730,0.15,0.15,0.0
2629650,1169100,30.92,30.92,0.0
2610450,1183280,21.54,13.78,7.76
2611550,1185900,0.0,0.0,0.0
2606070,1195140,15.16,9.32,5.85
2628380,1231480,8.69,0.23,8.46
2606880,1194320,24.24,24.24,0.0
2630090,1230190,0.0,0.0,0.0
2608210,1198550,0.04,0.04,0.0
2606930,1196930,9.59,2.92,6.67
2625930,1233760,10.84,5.04,5.8
2586280,1203130,79.87,71.32,8.55
2582200,1194760,27.07,1.14,25.93
2590340,1233650,7.03,1.73,5.3
2591130,1233150,6.13,1.39,4.74
2630930,1227700,0.24,0.06,0.18
2590580,1233510,10.19,0.93,9.26
2579660,1233850,111.17,54.54,56.63
2590010,1232730,5.76,5.76,0.0
2581330,1231180,4.2,0.45,3.75
2585610,1213920,2.17,0.79,1.38
2589870,1220410,6.27,3.64,2.63
2591490,1223190,1.51,1.51,0.0
2602270,1197490,14.98,9.07,5.91
2591360,1220670,7.85,0.91,6.93
2592360,1219370,17.11,17.11,0.0
2595200,1198100,0.0,0.0,0.0
2608150,1166310,10.3,10.3,0.0
2606940,1156460,19.79,7.56,12.22
2595400,1168640,3.64,0.21,3.43
2617570,1168870,11.76,0.47,11.29
2660210,1178690,6.73,0.49,6.25
2653900,1177150,0.0,0.0,0.0
2656530,1174670,0.0,0.0,0.0
2596730,1141120,6.18,0.08,6.1
2584720,1135390,13.58,0.37,13.2
2588420,1138400,1.77,0.44,1.34
2604220,1199580,14.71,1.59,13.12
2591850,1138160,29.85,29.85,0.0
2591240,1143760,2.15,0.06,2.08
2590910,1148850,1.91,0.12,1.8
2594270,1175680,1.63,0.28,1.35
2595860,1175800,2.75,0.19,2.55
2591670,1183680,0.73,0.73,0.0
2605860,1194790,110.26,110.26,0.0
2607370,1192180,83.93,83.93,0.0
2603350,1184050,0.0,0.0,0.0
2600530,1178610,0.68,0.28,0.41
2637030,1255300,68.66,13.27,55.39
2610410,1262780,37.55,1.21,36.34
2608590,1264610,16.51,3.43,13.08
2606990,1265420,60.89,16.95,43.94
2608000,1266000,0.0,0.0,0.0
2608360,1263490,9.6,8.72,0.89
2605100,1250850,0.0,0.0,0.0
2598640,1250110,23.4,13.15,10.24
2600460,1250630,57.56,12.82,44.74
2614450,1261110,4.45,0.78,3.67
2611150,1261210,8.21,0.46,7.75
2611220,1262080,23.47,0.44,23.02
2617220,1263630,65.07,48.26,16.81
2610080,1260800,3.41,3.41,0.0
2617450,1270350,9.74,0.87,8.87
2615310,1270640,14.89,2.1,12.79
2565920,1182510,26.55,3.61,22.93
2567450,1179560,2.09,2.09,0.0
2572280,1176600,2.13,0.88,1.25
2575160,1181120,0.0,0.0,0.0
2574460,1175290,1.71,0.67,1.04
2582840,1194000,27.77,15.64,12.13
2581570,1196660,0.9,0.9,0.0
2574350,1192400,0.0,0.0,0.0
2581600,1192150,9.11,6.0,3.11
2581800,1191800,5.11,0.8,4.32
2579420,1187990,71.06,27.65,43.4
2588790,1169660,9.06,9.06,0.0
2586450,1176180,0.78,0.78,0.0
2585810,1179370,8.81,4.74,4.08
2583550,1189900,0.0,0.0,0.0
2565050,1154940,15.09,3.8,11.29
2562290,1151420,1.55,0.68,0.87
2555170,1189650,30.31,30.31,0.0
2557190,1191620,107.76,107.76,0.0
2549350,1184860,28.39,28.39,0.0
2552190,1187110,189.92,189.92,0.0
2552620,1184840,1.37,0.71,0.65
2567100,1185320,20.48,2.06,18.41
2572380,1193480,0.84,0.3,0.54
2574900,1177080,401.16,146.7,254.46
2573350,1175700,0.0,0.0,0.0
2575850,1179300,0.0,0.0,0.0
2577840,1203280,4.79,0.69,4.11
2552320,1161980,1.74,0.92,0.82
2579800,1158340,1.72,0.59,1.13
2574330,1165190,0.0,0.0,0.0
2578650,1203780,6.11,2.47,3.64
2577010,1157130,0.47,0.11,0.36
2576650,1181100,0.0,0.0,0.0
2562240,1196050,183.22,183.22,0.0
2582550,1177220,173.89,173.89,0.0
2574360,1150400,1.05,0.45,0.59
2570520,1157960,1.34,0.55,0.78
2577630,1202870,17.49,5.44,12.05
2573760,1149720,1.02,0.4,0.62
2576000,1171000,0.0,0.0,0.0
2574640,1164900,0.0,0.0,0.0
2572350,1155450,0.0,0.0,0.0
2573700,1177750,0.0,0.0,0.0
2578710,1177110,20.69,2.62,18.08
2579470,1176790,5.63,2.05,3.58
2569500,1175500,0.0,0.0,0.0
2570800,1175500,0.0,0.0,0.0
2567560,1178310,17.04,9.66,7.39
2495390,1116570,54.24,8.26,45.98
2492340,1114680,155.54,7.24,148.3
2490980,1115730,131.96,35.12,96.84
2487630,1111450,101.0,23.27,77.73
2504190,1122390,55.15,2.5,52.64
2488340,1117840,263.11,38.65,224.46
2511020,1123190,64.31,28.18,36.13
2512390,1122840,55.61,1.05,54.56
2491060,1112770,103.48,3.87,99.61
2506690,1120820,94.01,20.31,73.7
2495210,1122220,57.85,12.9,44.95
2490400,1115790,90.87,58.71,32.16
2493410,1117860,318.52,24.88,293.64
2499860,1128780,48.33,3.17,45.15
2499880,1127580,80.33,6.1,74.23
2511420,1120950,142.89,5.75,137.13
2505990,1120520,48.07,2.31,45.75
2499130,1113050,42.2,1.39,40.82
2490950,1111600,189.89,5.2,184.69
2498830,1129040,66.4,6.94,59.46
2510660,1119840,98.65,1.08,97.57
2725520,1219540,41.53,14.63,26.9
2728670,1217420,4.93,4.93,0.0
2718930,1225030,18.88,14.29,4.59
2718360,1210270,11.55,11.55,0.0
2719830,1204350,23.76,17.48,6.28
2724220,1215990,3.4,2.46,0.95
2714970,1209460,2.76,2.76,0.0
2813190,1186500,0.88,0.88,0.0
2815730,1184560,7.17,3.33,3.84
2822360,1188690,5.73,0.44,5.29
2825790,1191210,3.53,0.75,2.78
2827370,1192550,1.79,1.79,0.0
2828220,1194360,28.48,28.48,0.0
2822410,1169260,1.99,0.75,1.24
2826780,1167390,1.67,0.44,1.23
2828590,1166030,1.52,0.31,1.22
2830890,1168120,2.25,2.25,0.0
2802890,1131280,3.19,1.44,1.76
2762280,1168250,0.58,0.58,0.0
2729570,1133940,42.12,42.12,0.0
2723730,1167750,0.8,0.27,0.53
2727970,1181040,13.84,13.84,0.0
2732220,1181700,18.38,18.38,0.0
2738230,1184860,28.43,17.77,10.66
2739620,1163720,3.08,1.72,1.36
2758000,1186930,0.48,0.09,0.39
2786100,1155480,38.97,19.62,19.35
2760680,1206450,9.08,9.08,0.0
2760260,1202860,13.08,13.08,0.0
2755750,1211920,35.95,35.95,0.0
2761480,1199170,17.43,17.43,0.0
2750370,1189530,14.1,5.91,8.18
2750850,1185950,10.49,10.09,0.4
2764410,1204940,0.57,0.57,0.0
2759130,1206550,10.7,10.7,0.0
2788750,1159630,7.11,4.69,2.42
2747850,1182650,0.39,0.39,0.0
2752790,1185150,3.38,0.86,2.52
2765920,1194460,4.04,1.09,2.95
2824370,1166830,0.75,0.75,0.0
2797310,1166910,2.82,0.99,1.83
2749590,1181770,0.74,0.24,0.5
2757270,1209770,17.62,3.06,14.56
2758640,1141390,19.65,11.45,8.2
2759800,1206030,2.94,2.94,0.0
2774450,1138840,36.59,16.72,19.87
2590330,1244180,8.82,0.88,7.94
2579350,1240760,2.98,1.04,1.93
2581480,1242640,2.88,0.21,2.67
2580000,1241630,26.51,0.48,26.03
2593080,1249670,2.32,0.27,2.05
2589350,1252510,14.26,3.83,10.43
2583730,1243910,26.49,5.26,21.24
2595220,1250440,10.97,3.98,6.99
2558270,1227820,29.55,6.04,23.51
2565520,1229050,12.58,0.59,11.99
2577270,1233240,6.13,0.29,5.84
2562840,1236560,69.64,7.19,62.45
2576760,1237440,11.96,3.62,8.34
2573240,1236680,38.45,21.25,17.19
2562460,1231750,36.2,6.89,29.31
2560240,1229750,20.97,8.16,12.81
2564680,1238100,70.51,10.92,59.6
2566630,1235950,14.91,1.72,13.19
2570580,1232290,104.78,96.44,8.34
2569060,1233300,49.01,49.01,0.0
2574730,1237590,5.18,1.07,4.11
2579280,1255710,11.32,5.39,5.93
2579420,1245930,9.22,1.54,7.68
2575020,1245070,8.7,2.26,6.45
2571500,1250740,3.93,2.85,1.09
2586910,1241680,5.38,1.02,4.36
2586920,1242130,7.07,0.88,6.19
2579220,1257060,55.47,7.12,48.34
2579650,1257620,163.96,32.05,131.91
2579340,1258850,3.42,1.68,1.74
2565040,1252590,290.34,84.4,205.94
2594250,1244500,0.0,0.0,0.0
2574790,1256890,5.07,0.42,4.65
2577150,1249340,1.66,0.31,1.35
2575330,1257960,18.52,9.74,8.77
2594420,1246460,30.75,1.89,28.86
2666290,1223040,3.53,1.61,1.92
2651650,1202240,39.06,26.2,12.86
2651780,1197310,16.92,7.15,9.77
2666250,1220850,0.0,0.0,0.0
2666090,1219120,31.53,7.53,24.0
2667050,1222350,0.0,0.0,0.0
2667660,1218610,7.99,6.49,1.5
2666260,1222620,3.57,1.99,1.58
2637090,1191230,2.38,0.89,1.49
2644840,1221550,5.05,3.6,1.44
2641770,1192010,1.44,0.28,1.16
2663990,1229400,0.62,0.26,0.35
2662980,1229970,1.06,0.65,0.41
2661460,1229550,28.63,17.77,10.86
2664930,1225070,0.85,0.85,0.0
2663710,1225190,14.47,14.47,0.0
2673270,1220360,3.19,2.07,1.12
2666470,1207110,10.06,10.06,0.0
2669280,1218550,5.39,5.39,0.0
2671500,1220350,0.0,0.0,0.0
2669200,1220050,0.0,0.0,0.0
2646480,1227530,3.77,3.77,0.0
2646650,1224260,55.15,9.57,45.58
2664330,1207300,2.0,0.17,1.83
2649850,1234300,0.0,0.0,0.0
2661250,1210600,0.0,0.0,0.0
2642330,1221160,3.38,2.42,0.95
2644210,1228400,26.25,26.25,0.0
2647160,1213520,17.37,11.79,5.57
2647310,1212630,0.0,0.0,0.0
2659920,1225910,5.75,3.1,2.64
2658620,1213990,1.9,1.9,0.0
2659840,1219570,8.75,8.75,0.0
2647590,1217780,8.36,8.36,0.0
2653240,1219960,3.02,2.41,0.62
2631580,1228670,0.0,0.0,0.0
2663150,1224600,0.0,0.0,0.0
2646490,1208270,15.43,15.43,0.0
2672000,1219160,2.01,2.01,0.0
2670960,1218750,15.39,10.63,4.75
2656180,1214200,4.36,1.73,2.63
2658460,1221060,5.91,4.5,1.41
2644060,1224590,32.54,16.42,16.12
2657980,1204020,2.33,1.02,1.31
2647710,1208640,11.75,7.8,3.96
2656360,1206840,7.39,7.39,0.0
2647530,1233110,2.11,0.68,1.43
2672530,1214010,7.49,3.37,4.12
2639350,1227930,0.48,0.31,0.17
2645000,1218090,31.55,31.55,0.0
2635520,1218870,4.87,4.87,0.0
2638400,1220600,0.0,0.0,0.0
2671120,1213010,4.75,3.11,1.64
2672300,1214740,18.62,18.62,0.0
2668350,1217430,29.06,6.27,22.79
2667630,1214420,8.95,6.84,2.11
2665040,1206940,5.76,4.4,1.36
2636800,1220200,0.0,0.0,0.0
2669630,1215060,1.61,1.61,0.0
2672710,1221170,2.65,0.78,1.87
2640970,1221640,4.2,1.91,2.29
2666150,1209040,25.3,11.32,13.98
2662820,1215630,7.97,2.23,5.74
2653160,1230380,1.28,1.28,0.0
2553830,1202880,21.36,0.73,20.63
2543830,1212800,36.55,11.96,24.58
2555750,1199110,8.84,5.95,2.89
2554060,1197930,12.83,12.83,0.0
2554530,1215730,0.0,0.0,0.0
2551330,1197140,30.9,0.04,30.87
2555430,1222770,77.41,0.04,77.37
2552060,1215390,8.93,3.08,5.85
2562330,1206230,106.73,0.32,106.4
2548310,1195460,107.09,0.07,107.02
2548460,1215380,6.98,0.29,6.69
2554770,1201230,5.22,0.01,5.21
2553420,1202130,22.55,0.08,22.47
2554400,1201040,5.81,0.96,4.85
2565280,1207930,0.9,0.9,0.0
2566430,1207620,12.84,6.83,6.02
2556380,1206000,0.0,0.0,0.0
2557190,1207450,41.4,5.87,35.53
2556860,1206370,4.85,0.05,4.8
2552850,1215280,0.95,0.13,0.82
2665760,1198270,0.0,0.0,0.0
2666550,1198420,0.0,0.0,0.0
2672500,1201900,0.0,0.0,0.0
2671270,1202830,33.51,21.26,12.25
2669820,1204790,16.78,3.43,13.35
2668440,1202310,18.25,8.14,10.11
2671070,1204480,2.84,0.45,2.39
2664160,1198190,21.18,13.19,7.99
2655960,1184260,22.14,10.61,11.53
2657890,1188720,19.52,17.04,2.48
2660520,1182330,24.07,20.25,3.82
2649040,1193450,55.14,55.14,0.0
2654520,1193480,56.34,14.52,41.83
2654460,1194390,49.78,12.84,36.93
2667530,1196220,2.5,1.3,1.2
2648900,1185990,5.56,2.86,2.7
2651450,1186410,10.75,2.51,8.24
2650030,1184840,0.59,0.59,0.0
2656840,1189460,36.22,20.81,15.41
2664880,1197270,29.11,2.44,26.67
2660500,1197850,0.0,0.0,0.0
2663460,1197610,0.0,0.0,0.0
2761110,1261480,22.29,22.29,0.0
2763810,1259310,58.68,33.73,24.95
2759480,1262650,33.85,33.85,0.0
2760220,1261040,25.15,21.97,3.18
2761150,1247320,70.83,60.68,10.14
2761220,1244680,8.7,6.13,2.57
2760310,1243890,33.75,14.19,19.56
2761030,1246360,25.63,12.18,13.45
2759580,1239540,3.96,1.04,2.92
2749200,1253880,11.18,6.02,5.17
2755020,1229530,30.93,9.05,21.88
2755230,1229040,3.98,0.6,3.38
2744020,1254590,4.92,4.92,0.0
2756170,1234560,20.95,20.24,0.71
2755670,1235290,9.39,1.79,7.6
2747520,1257450,4.2,4.2,0.0
2745830,1260580,10.99,3.9,7.09
2752770,1261020,7.32,7.32,0.0
2752700,1213200,0.0,0.0,0.0
2752650,1210870,2.58,1.24,1.33
2750910,1211200,4.4,4.4,0.0
2742950,1219280,0.0,0.0,0.0
2716570,1229590,10.79,4.41,6.38
2718380,1226690,4.68,2.98,1.7
2717150,1230400,63.9,42.28,21.62
2721780,1223260,8.34,3.75,4.58
2713260,1233840,7.99,2.26,5.74
2714350,1237030,3.29,2.02,1.28
2707320,1231380,28.38,27.75,0.63
2714320,1230940,31.89,31.89,0.0
2750690,1258200,27.44,27.44,0.0
2722590,1245810,2.38,0.73,1.65
2720300,1253350,0.0,0.0,0.0
2720280,1251660,9.18,5.14,4.03
2730650,1251570,3.07,1.82,1.25
2734100,1249250,0.0,0.0,0.0
2734690,1251500,8.81,8.81,0.0
2734000,1252400,0.0,0.0,0.0
2725790,1254510,23.68,17.26,6.42
2726120,1257950,5.75,4.74,1.02
2724010,1260470,2.78,2.32,0.46
2733430,1260000,1.05,0.51,0.54
2733910,1258540,3.26,1.39,1.87
2730720,1257710,2.29,2.29,0.0
2727370,1259650,13.72,10.51,3.22
2752570,1258720,15.06,10.09,4.97
2736300,1257110,1.61,1.61,0.0
2734530,1252380,3.93,3.93,0.0
2740180,1252990,44.16,38.07,6.09
2741340,1257220,1.41,0.82,0.59
2748300,1215600,0.0,0.0,0.0
2753420,1214360,1.97,1.97,0.0
2724800,1253440,2.68,1.23,1.46
2720970,1253800,0.0,0.0,0.0
2764810,1252620,15.74,15.74,0.0
2741120,1252270,5.29,4.76,0.54
2765270,1251580,12.47,9.22,3.25
2767950,1249500,0.0,0.0,0.0
2693400,1290900,0.0,0.0,0.0
2696990,1285560,12.66,1.47,11.19
2692210,1287870,19.14,4.09,15.05
2694730,1287280,5.64,2.69,2.94
2686700,1284000,2.56,0.61,1.94
2685530,1281510,9.51,1.45,8.06
2691360,1287240,9.41,1.2,8.21
2692300,1285510,0.0,0.0,0.0
2693320,1286880,14.15,6.23,7.92
2681100,1283380,5.38,5.38,0.0
2687040,1284540,18.07,3.03,15.04
2703320,1282750,0.92,0.66,0.26
2702730,1287040,4.52,2.58,1.94
2706050,1278930,1.47,0.8,0.67
2692160,1290890,2.77,2.77,0.0
2691330,1291050,0.48,0.48,0.0
2673490,1282900,3.19,0.82,2.37
2676600,1281550,0.0,0.0,0.0
2630750,1239000,0.0,0.0,0.0
2628320,1234770,13.1,5.67,7.42
2614070,1245880,16.97,4.33,12.64
2629170,1245140,25.03,4.68,20.36
2620190,1241590,18.53,2.14,16.39
2597590,1224650,550.97,11.27,539.7
2606950,1237280,1.08,0.04,1.04
2627960,1237500,1.75,1.75,0.0
2616720,1252890,17.98,5.26,12.72
2631020,1246110,0.46,0.04,0.41
2639500,1245730,43.13,43.13,0.0
2599650,1228510,1.52,1.52,0.0
2608420,1230490,56.34,1.08,55.26
2622450,1235300,0.0,0.0,0.0
2640510,1244300,1.77,0.56,1.21
2697490,1218210,13.03,8.67,4.37
2691640,1206280,7.11,1.16,5.96
2688050,1210620,29.46,29.46,0.0
2711530,1228350,0.0,0.0,0.0
2713880,1230320,46.61,30.29,16.31
2690600,1205850,0.0,0.0,0.0
2710550,1222940,0.0,0.0,0.0
2713130,1227600,0.0,0.0,0.0
2690000,1207760,0.0,0.0,0.0
2676370,1214430,5.45,1.09,4.36
2676030,1217100,0.0,0.0,0.0
2697660,1220800,2.32,0.24,2.08
2710730,1228530,67.42,6.05,61.38
2712330,1228730,0.0,0.0,0.0
2705260,1215240,131.23,131.23,0.0
2704520,1216820,9.47,4.64,4.83
2696720,1225490,1.12,0.38,0.74
2698320,1225080,18.32,1.91,16.4
2703500,1218060,30.76,4.85,25.91
2702470,1217530,5.91,1.8,4.11
2716840,1226670,12.09,2.14,9.95
2686410,1210790,147.2,147.2,0.0
2700000,1220030,1.69,0.43,1.26
2684980,1212310,6.06,0.89,5.17
2689840,1205960,8.71,3.36,5.36
2710730,1262330,3.31,3.31,0.0
2706930,1269930,9.31,9.31,0.0
2707130,1268470,6.59,6.59,0.0
2710090,1270580,23.75,23.75,0.0
2702310,1272530,5.23,1.8,3.43
2698440,1273440,10.08,3.39,6.69
2698830,1274740,13.2,13.2,0.0
2714950,1266110,0.14,0.14,0.0
2715340,1269170,2.29,2.29,0.0
2703040,1270000,8.23,3.82,4.41
2704790,1271490,0.52,0.52,0.0
2708900,1272400,0.0,0.0,0.0
2728940,1275600,22.64,22.64,0.0
2725490,1280970,93.13,54.36,38.77
2730850,1276840,17.24,17.24,0.0
2731390,1279270,12.1,6.83,5.27
2728370,1280720,12.79,12.79,0.0
2724310,1275770,0.86,0.86,0.0
2710100,1257300,50.6,16.89,33.71
2717770,1264620,10.62,10.62,0.0
2719250,1255910,70.61,27.96,42.65
2736160,1267090,11.91,11.91,0.0
2714600,1263470,3.22,3.22,0.0
2706410,1278560,5.94,5.94,0.0
2718800,1277380,0.54,0.54,0.0
2718960,1276640,2.35,2.35,0.0
2704470,1274370,259.26,105.15,154.12
2739280,1265190,30.54,30.54,0.0
2706930,1271740,7.5,2.39,5.11
2722090,1280600,0.56,0.56,0.0
2712610,1277060,0.65,0.65,0.0
2715790,1277840,2.09,1.29,0.79
2719150,1278660,1.24,1.24,0.0
2717940,1280560,45.48,3.51,41.97
2702830,1279980,18.73,18.73,0.0
2704850,1278780,0.92,0.92,0.0
2729500,1271650,0.0,0.0,0.0
2727430,1271200,0.64,0.64,0.0
2727800,1268340,15.93,14.74,1.18
2728050,1268500,0.0,0.0,0.0
2728800,1268900,0.0,0.0,0.0
2730100,1268730,4.73,4.73,0.0
2726500,1265070,0.0,0.0,0.0
2726640,1272150,0.4,0.4,0.0
2737970,1261190,45.69,36.18,9.51
2725450,1271230,0.29,0.29,0.0
2726960,1268990,1.98,1.98,0.0
2709140,1271680,3.7,2.8,0.89
2746120,1269340,5.37,5.37,0.0
2710080,1272260,2.42,2.42,0.0
2718280,1268780,0.48,0.48,0.0
2698650,1281150,0.0,0.0,0.0
2722000,1278280,0.0,0.0,0.0
2720540,1276060,1.22,1.22,0.0
2735060,1263230,4.05,4.05,0.0
2731330,1265890,1.14,1.14,0.0
2743050,1262950,0.43,0.43,0.0
2732780,1267320,11.22,11.22,0.0
